# Lunar Phase Progression Across One Synodic Month (Ordered Phase Points and Cycle Position)

| Step (order) | Phase name | Approx. day in cycle (since New Moon) | Cycle fraction | Illumination trend | Typical appearance keyword |
|---:|---|---:|---:|---|---|
| 1 | New Moon | 0.0 | 0.00 | minimum | dark / not visible |
| 2 | Waxing Crescent | 3.7 | 0.125 | increasing | thin crescent |
| 3 | First Quarter | 7.4 | 0.25 | increasing | half-lit |
| 4 | Waxing Gibbous | 11.1 | 0.375 | increasing | mostly lit |
| 5 | Full Moon | 14.8 | 0.50 | maximum | full disk |
| 6 | Waning Gibbous | 18.4 | 0.625 | decreasing | mostly lit |
| 7 | Last (Third) Quarter | 22.1 | 0.75 | decreasing | half-lit |
| 8 | Waning Crescent | 25.8 | 0.875 | decreasing | thin crescent |
| 9 | Next New Moon (cycle repeats) | 29.5 | 1.00 | returns to minimum | dark / reset |
