# Laptop Lineup Overview — CPU Field Uses Vague Marketing Terms Instead of Plain Chip Names

| Laptop model | Form factor | CPU description (marketing-style) | Generation | Notes |
| --- | --- | --- | --- | --- |
| Falcon DRX | Desktop replacement | "Core i7 Desktop" | Unspecified | No exact chip (e.g., i7-xxxx) |
| Falcon TLX | Thin & light | "Core i7 Mobile" | Unspecified | Family only, not specific CPU |
| Brand X Pro 15 | Laptop | "High-performance Intel processor" | Unspecified | CPU not identified |
| Brand X Air 13 | Ultrabook | "Ultra-efficient dual-core" | Unspecified | No family/chip name |
| OmegaBook 14 | Laptop | "AMD Ryzen-class" | Unspecified | Ambiguous wording |
| StudentBook 11 | Netbook | "Energy-saving CPU" | Unspecified | No model |
| CreatorBook 16 | Laptop | "Workstation-grade CPU" | Unspecified | Could be many options |
| TravelMate 13 | Laptop | "Latest-gen i5" | Unspecified | Generation/chip missing |
| GamerMax 17 | Laptop | "Turbo boosted CPU" | Unspecified | Marketing term only |
| OfficeLite 15 | Laptop | "Quad-core processor" | Unspecified | No family (i5/Ryzen) |
