# US FDA Daily Values (DV) for Adults and Children 4+

| Nutrient | Daily Value | Unit | Notes |
| --- | --- | --- | --- |
| Calories | 2,000 | kcal/day | Reference diet for labeling |
| Total Fat | 78 | g/day | Includes all fats |
| Saturated Fat | 20 | g/day | Limit |
| Cholesterol | 300 | mg/day | Limit |
| Sodium | 2,300 | mg/day | Limit |
| Total Carbohydrate | 275 | g/day | Includes fiber & sugars |
| Dietary Fiber | 28 | g/day | Target |
| Protein | 50 | g/day | General reference |
| Vitamin D | 20 | µg/day | 800 IU |
| Calcium | 1,300 | mg/day | Bone health |
| Iron | 18 | mg/day | Higher needs for some groups |
| Potassium | 4,700 | mg/day | Electrolyte |
| Vitamin C | 90 | mg/day | Antioxidant |
| Folate | 400 | µg DFE/day | Dietary folate equivalents |
