# Academy Awards Ceremony Logistics (Selected Ceremonies  Number, Year, Venue, City)

| Ceremony No. | Year | Venue (Official Site Name) | City | State/Country | Notes |
|---:|---:|---|---|---|---|
| 88th | 2016 | Dolby Theatre | Hollywood, Los Angeles | United States (CA) | Regular venue in the 2010s |
| 89th | 2017 | Dolby Theatre | Hollywood, Los Angeles | United States (CA) | Ceremony-level location reference |
| 90th | 2018 | Dolby Theatre | Hollywood, Los Angeles | United States (CA) | Venue remained unchanged |
| 91st | 2019 | Dolby Theatre | Hollywood, Los Angeles | United States (CA) | Ceremony venue listing |
| 92nd | 2020 | Dolby Theatre | Hollywood, Los Angeles | United States (CA) | Pre-pandemic year |
| 93rd | 2021 | Union Station (main venue) | Los Angeles | United States (CA) | Distinct primary venue for this edition |
| 94th | 2022 | Dolby Theatre | Hollywood, Los Angeles | United States (CA) | Returned to main theater |
| 95th | 2023 | Dolby Theatre | Hollywood, Los Angeles | United States (CA) | Ceremony venue listing |
| 96th | 2024 | Dolby Theatre | Hollywood, Los Angeles | United States (CA) | Ceremony venue listing |
| 97th | 2025 | Dolby Theatre | Hollywood, Los Angeles | United States (CA) | Ceremony venue listing (planned/announced) |
