# Prime Ministers of England (Selected) — Biographical Notes and Party Only (No Years)

| Prime Minister | Party | Notable policy/episode | Education | Spouse | Notes |
|---|---|---|---|---|---|
| Sir Robert Walpole | Whig | Early cabinet government | Cambridge | Catherine Shorter | Often cited as first de facto PM |
| William Pitt the Younger | Tory | Wartime finance reforms | Cambridge | Unmarried | Youngest PM |
| Earl Grey | Whig | Reform Act era | Cambridge | Mary Ponsonby | Associated with parliamentary reform |
| Benjamin Disraeli | Conservative | Imperial policy | Oxford | Mary Anne Lewis | Prominent novelist-politician |
| William Ewart Gladstone | Liberal | Irish Home Rule debates | Oxford | Catherine Glynne | Major Victorian statesman |
| Winston Churchill | Conservative | WWII leadership | Harrow | Clementine Hozier | Wartime coalition figure |
| Margaret Thatcher | Conservative | Market reforms | Oxford | Denis Thatcher | First female PM |
| Tony Blair | Labour | New Labour period | Oxford | Cherie Booth | Constitutional and social reforms |
| David Cameron | Conservative | Coalition era politics | Oxford | Samantha Sheffield | Modern premiership |
| Theresa May | Conservative | Brexit negotiations | Oxford | Philip May | Brexit-focused tenure |
