# Beijing 2008 Olympic Games — Selected Events and Gold Medalists (with Medal Times Scores)

| Sport | Event | Gold medalist (athlete/team) | Country | Winning time/score | Venue |
| --- | --- | --- | --- | --- | --- |
| Athletics | Men's 100 m | Usain Bolt | Jamaica | 9.69 | Beijing National Stadium |
| Athletics | Women's 100 m | Shelly-Ann Fraser | Jamaica | 10.78 | Beijing National Stadium |
| Swimming | Men's 100 m freestyle | Alain Bernard | France | 47.21 | National Aquatics Center |
| Swimming | Women's 400 m freestyle | Stephanie Rice | Australia | 4:03.29 | National Aquatics Center |
| Gymnastics | Men's individual all-around | Yang Wei | China | 92.225 | Beijing National Indoor Stadium |
| Gymnastics | Women's individual all-around | Nastia Liukin | United States | 63.325 | Beijing National Indoor Stadium |
| Tennis | Men's singles | Rafael Nadal | Spain | 3–0 (sets) | Olympic Green Tennis Centre |
| Weightlifting | Men's 69 kg | Liao Hui | China | 348 kg | Beijing Aviation University Gym |
| Fencing | Women's épée | Britta Heidemann | Germany | 15–11 | Olympic Green Convention Center |
| Cycling (Track) | Men's sprint | Chris Hoy | Great Britain | 2–0 (heats) | Laoshan Velodrome |
