# Hormone Therapy Medications  Indications, Mechanisms, and Common Adverse Effects

| Medication | Drug class | Hormone axis targeted | Primary indication | Mechanism of action | Common adverse effects |
| --- | --- | --- | --- | --- | --- |
| Levothyroxine | thyroid hormone replacement | Thyroid | hypothyroidism | replaces T4, increases metabolic signaling | palpitations, heat intolerance if overtreated |
| Hydrocortisone | glucocorticoid | HPA axis | adrenal insufficiency | replaces cortisol; anti-inflammatory transcriptional effects | weight gain, hyperglycemia, osteoporosis |
| Insulin glargine | insulin analog | Pancreatic | diabetes mellitus | long-acting insulin receptor agonist | hypoglycemia, weight gain |
| Desmopressin | vasopressin analog | Posterior pituitary | central diabetes insipidus | V2 receptor agonist increases water reabsorption | hyponatremia, headache |
| Ethinyl estradiol + progestin | combined hormonal contraceptive | Gonadal | contraception | suppresses ovulation via feedback on GnRH/LH/FSH | thrombosis risk, nausea |
| Tamoxifen | SERM | Estrogen | ER+ breast cancer | ER antagonist in breast, partial agonist elsewhere | hot flashes, VTE risk |
| Leuprolide | GnRH agonist | Gonadal | prostate cancer, endometriosis | downregulates pituitary GnRH receptors (after flare) | hot flashes, bone loss |
| Spironolactone | mineralocorticoid receptor antagonist | Adrenal | hyperaldosteronism, HF | blocks aldosterone receptor | hyperkalemia, gynecomastia |
| Letrozole | aromatase inhibitor | Estrogen synthesis | ER+ breast cancer | inhibits aromatase, lowers estrogen | arthralgia, bone loss |
