# Countries with Multiple Capitals, Former Capitals, and Seat of Government

| Country | Official Capital | Seat of Government | Former Capital | Capital Trivia |
|---|---|---|---|---|
| South Africa | Pretoria (exec), Cape Town (leg), Bloemfontein (jud) | Pretoria | Cape Town (historical seat) | Only country with three capitals |
| Netherlands | Amsterdam | The Hague | The Hague (de facto for centuries) | Monarch is inaugurated in Amsterdam |
| Bolivia | Sucre (constitutional) | La Paz | Sucre (still constitutional) | Ongoing debate over capital functions |
| Malaysia | Kuala Lumpur | Putrajaya (administrative) | Kuala Lumpur (still capital) | Purpose-built admin center |
| Turkey | Ankara | Ankara | Istanbul | Capital moved in 1923 |
| Myanmar | Naypyidaw | Naypyidaw | Yangon | Planned city built inland |
| Nigeria | Abuja | Abuja | Lagos | Capital relocated for central location |
| Kazakhstan | Astana | Astana | Almaty | Capital renamed multiple times |
| Sri Lanka | Sri Jayawardenepura Kotte | Sri Jayawardenepura Kotte | Colombo (commercial) | Colombo remains commercial hub |
| Montenegro | Podgorica | Podgorica | Cetinje (historic royal capital) | Cetinje retains ceremonial status |
| Georgia | Tbilisi | Tbilisi | Kutaisi (parliament once moved) | Parliament location changed in 2012 |
