# Incidence (%) of Adverse Events Reported With Common Vaccines (Post-marketing)

| Vaccine | Adverse event | Incidence (%) | Time window | Notes |
|---|---|---:|---|---|
| Influenza (IIV) | Injection-site pain | 45 | 0–2 days | Local reaction |
| Influenza (IIV) | Fever | 2 | 0–2 days | Self-limited |
| COVID-19 (mRNA) | Fatigue | 38 | 0–3 days | More common after dose 2 |
| COVID-19 (mRNA) | Myocarditis (suspected) | 0.01 | 0–7 days | Primarily young males |
| HPV | Syncope | 0.2 | 0–1 day | Observation recommended |
| MMR | Rash | 5 | 7–12 days | Typical vaccine rash |
| Varicella | Mild varicella-like rash | 3 | 5–26 days | Breakthrough rash |
| Tdap | Headache | 12 | 0–2 days | Common systemic symptom |
| Hepatitis B | Anaphylaxis | 0.001 | 0–1 day | Very rare |
| Pneumococcal (PCV) | Irritability | 25 | 0–2 days | Pediatric series |
| Shingles (RZV) | Myalgia | 30 | 0–3 days | Reactogenicity |
| Yellow fever | Serious neurotropic disease | 0.004 | 0–30 days | Rare, older adults risk |
