# Consolidated Income Statement Snapshot — Orion Foods plc (FY2021–FY2024, USD millions)

| Line item (USD millions) | FY2021 | FY2022 | FY2023 | FY2024 |
|---|---:|---:|---:|---:|
| Revenue (Net sales) | 4,820 | 5,140 | 5,610 | 5,980 |
| Cost of goods sold | (3,110) | (3,290) | (3,560) | (3,770) |
| **Gross profit** | **1,710** | **1,850** | **2,050** | **2,210** |
| Gross margin % | 35.5% | 36.0% | 36.5% | 36.9% |
| Selling, general & administrative (SG&A) | (1,080) | (1,120) | (1,200) | (1,250) |
| R&D expense | (120) | (135) | (150) | (160) |
| **Operating profit (EBIT)** | **510** | **595** | **700** | **800** |
| Depreciation & amortization | 190 | 205 | 220 | 235 |
| **EBITDA** | **700** | **800** | **920** | **1,035** |
| Net interest expense | (85) | (90) | (95) | (100) |
| Income tax expense | (95) | (110) | (130) | (150) |
| **Net income** | **330** | **395** | **475** | **550** |
| Net margin % | 6.8% | 7.7% | 8.5% | 9.2% |
