# Find Contributions | MapLight - Money and Politics

| Date | 9/13/2010 | 9/29/2010 | 8/27/2010 | 9/28/2010 | 9/20/2011 | 4/30/2012 | 8/22/2011 | 5/24/2012 | 9/19/2011 | 5/7/2012 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Amount | $1,000 | $1,000 | $1,000 | $2,000 | $1,000 | $5,000 | $1,000 | $1,000 | $2,000 | $2,500 |
| Recipient | Howard Coble [about] | Howard Coble [about] | Howard Coble [about] | Howard Coble [about] | Howard Coble [about] | Howard Coble [about] | Howard Coble [about] | Howard Coble [about] | Howard Coble [about] | Howard Coble [about] |
| State | NC House 6 | NC House 6 | NC House 6 | NC House 6 | NC House 6 | NC House 6 | NC House 6 | NC House 6 | NC House 6 | NC House 6 |
| Contributor | Ppg Industries | Goodyear Tire & Rubber | Institute Of Makers Of Explosives | Ecolab Inc | Ppg Industries | Basf Corp | Institute Of Makers Of Explosives | Institute Of Makers Of Explosives | Ecolab Inc | Higgins, Richard V |
| Interest Group | Paints, Solvents & Coatings [about] | Plastics & Rubber processing & products [about] | Explosives [about] | Household cleansers & chemicals [about] | Paints, Solvents & Coatings [about] | Chemicals [about] | Explosives [about] | Explosives [about] | Household cleansers & chemicals [about] | Chemicals [about] |
| Occupation/Employer |  |  |  |  |  |  |  |  |  | President / Hk Research |
| City |  |  |  |  |  |  |  |  |  | TAYLORSVILLE |
| State |  |  |  |  |  |  |  |  |  | NC |
| Zip |  |  |  |  |  |  |  |  |  | 28681 |
