# Topical and Vaginal Antifungal Products  Active Ingredient, Target Use, and Dosage Form

| Product type | Active ingredient | Antifungal class | Common target fungal condition | Dosage form examples | Key counseling notes |
|---|---|---|---|---|---|
| Vaginal azole | Butoconazole | Imidazole | Vaginal yeast infection | Vaginal cream | Use full course even if symptoms improve |
| Vaginal azole | Clotrimazole | Imidazole | Vaginal yeast infection; external vulvar itching | Vaginal tablet/cream | May weaken latex condoms during use (check label) |
| Vaginal azole | Miconazole | Imidazole | Vaginal yeast infection | Vaginal suppository/cream | Burning/irritation can occur initially |
| Vaginal azole | Terconazole | Triazole | Vaginal yeast infection | Vaginal cream/suppository | Often used when OTC therapy fails (per clinician advice) |
| Vaginal azole | Tioconazole | Imidazole | Vaginal yeast infection | Ointment | Single-dose products exist; symptoms may persist a few days |
| Skin antifungal | Terbinafine | Allylamine | Athlete’s foot; ringworm; jock itch | Cream/gel/spray | Typically faster for dermatophytes vs some azoles |
| Skin antifungal | Butenafine | Benzylamine | Athlete’s foot; ringworm | Cream | Continue for recommended duration to reduce recurrence |
| Skin antifungal | Ketoconazole | Imidazole | Seborrheic dermatitis; tinea versicolor; tinea | Shampoo/cream | Shampoo useful for Malassezia-associated conditions |
| Skin antifungal | Ciclopirox | Hydroxypyridone | Mild nail fungus; tinea | Nail lacquer/cream | Nail lacquer requires prolonged daily application |
| Nail topical | Efinaconazole | Triazole | Onychomycosis | Topical solution | Apply to nail plate and under nail edge if possible |
| Oral systemic (for severe nail disease) | Terbinafine | Allylamine | Onychomycosis | Tablets | Drug interactions and liver monitoring may be needed |
| Oral systemic (alternative) | Itraconazole | Triazole | Onychomycosis; some systemic mycoses | Capsules/tablets | Pulse regimens used for nails; interaction-prone |
