# Antifungal Therapies by Common Fungal Condition (drug class, examples, and typical route)

| Condition | Typical pathogens | First-line antifungal options (examples) | Alternatives / notes | Common route |
|---|---|---|---|---|
| Vulvovaginal candidiasis (uncomplicated) | *Candida albicans* | Azoles: clotrimazole, miconazole, tioconazole | Fluconazole (oral) may be used when appropriate; avoid unnecessary antibacterial agents | Topical vaginal; oral |
| Vulvovaginal candidiasis (recurrent) | *Candida* spp. | Fluconazole (induction then suppressive regimen) | Boric acid capsules (for select azole-resistant cases, clinician-guided) | Oral; intravaginal |
| Dermatophyte tinea pedis (athlete’s foot) | *Trichophyton* spp. | Terbinafine; butenafine | Clotrimazole or miconazole for mild disease; keep area dry to prevent relapse | Topical cream/spray |
| Dermatophyte tinea corporis (ringworm) | *Trichophyton*, *Microsporum* | Terbinafine | Azoles (clotrimazole/ketoconazole) if terbinafine not tolerated | Topical; oral if extensive |
| Tinea cruris (jock itch) | *Trichophyton* spp. | Terbinafine | Azoles; avoid topical steroid monotherapy which can worsen tinea | Topical |
| Onychomycosis (fungal nail infection) | Dermatophytes; sometimes *Candida* | Terbinafine | Itraconazole pulse therapy; topical efinaconazole/ciclopirox for mild cases | Oral; topical |
| Oropharyngeal candidiasis (thrush) | *Candida* spp. | Nystatin suspension; clotrimazole troches | Fluconazole if refractory or severe | Oral topical; oral systemic |
| Cutaneous candidiasis (intertrigo) | *Candida* spp. | Nystatin; azole creams (clotrimazole) | Address moisture/friction; consider oral therapy if widespread | Topical; oral |
| Invasive candidiasis (candidemia) | *Candida* spp. | Echinocandins: caspofungin, micafungin | Step-down to fluconazole when susceptible and stable | IV; oral step-down |
| Invasive aspergillosis | *Aspergillus* spp. | Voriconazole | Isavuconazole; amphotericin B formulations in select cases | IV/oral |
| Cryptococcal meningitis | *Cryptococcus neoformans* | Amphotericin B + flucytosine (induction) | Fluconazole for consolidation/maintenance | IV then oral |
| Mucormycosis | Mucorales | Liposomal amphotericin B | Posaconazole or isavuconazole as salvage/step-down; surgical debridement often needed | IV; oral step-down |
