# Major Guitar Manufacturers Directory (Including Ibanez)

| Brand | Country/Region | Known For (General) | Official Website | Product Category Focus | Notes |
|---|---|---|---|---|---|
| Ibanez | Japan | Wide-range electric guitars | ibanez.com | Electric/Bass | Large catalog |
| Fender | USA | Strat/Tele classics | fender.com | Electric/Acoustic | Historic models |
| Gibson | USA | Les Paul/SG | gibson.com | Electric/Acoustic | Legacy brand |
| PRS | USA | Modern boutique-style | prsguitars.com | Electric | Premium pricing |
| ESP | Japan/USA | Metal-oriented | espguitars.com | Electric | Artist heavy |
| Jackson | USA | Superstrat shapes | jacksonguitars.com | Electric | Fast necks |
| Schecter | USA | Metal/rock | schecterguitars.com | Electric/Bass | Many variants |
| Yamaha | Japan | Broad instrument maker | yamaha.com | All types | Mass-market |
| Gretsch | USA | Hollow/semi-hollow vibe | gretschguitars.com | Electric | Retro tone |
