# College Baseball Team Captains (NCAA Division I Programs, Example Mapping)

| Conference | Team | Season | Captain | Co-captain(s) |
| --- | --- | --- | --- | --- |
| Ivy League | Yale Bulldogs | 2009 | Ryan Lavarnway | Mike Williams |
| Ivy League | Harvard Crimson | 2010 | Jim Gallagher | - |
| ACC | Florida State Seminoles | 2011 | Tyler Holt | - |
| SEC | LSU Tigers | 2012 | Austin Nola | - |
| Big 12 | Texas Longhorns | 2013 | Mark Payton | - |
| Pac-12 | Oregon State Beavers | 2014 | Michael Conforto | - |
| Big Ten | Michigan Wolverines | 2015 | Travis Maezes | - |
| Big East | Creighton Bluejays | 2016 | Ryan Fitzgerald | - |
| AAC | East Carolina Pirates | 2017 | Bryant Packard | - |
| WCC | Gonzaga Bulldogs | 2018 | Tyler Frost | - |
| Mountain West | UNLV Rebels | 2019 | Nick Rodriguez | - |
| Sun Belt | Coastal Carolina Chanticleers | 2020 | Parker Chavers | - |
