# Top 10 Largest U.S. Cities and Their Capitals (City-centric view)

| Largest City (by population) | State | State Capital | Are They the Same Place? | Population Rank |
|---|---|---|---|---|
| New York City | New York | Albany | No | 1 |
| Los Angeles | California | Sacramento | No | 2 |
| Chicago | Illinois | Springfield | No | 3 |
| Houston | Texas | Austin | No | 4 |
| Phoenix | Arizona | Phoenix | Yes | 5 |
| Philadelphia | Pennsylvania | Harrisburg | No | 6 |
| San Antonio | Texas | Austin | No | 7 |
| San Diego | California | Sacramento | No | 8 |
| Dallas | Texas | Austin | No | 9 |
| San Jose | California | Sacramento | No | 10 |
