# Broadway Musicals  Cast Bios and Notable Film TV Credits

| Broadway Musical | Performer | Role | Bio Highlight | Film/TV Credits Mentioned |
|---|---|---|---|---|
| Wicked | Idina Menzel | Elphaba | Broadway performer and singer-songwriter | Glee, Enchanted |
| Wicked | Kristin Chenoweth | Glinda | Stage and television actress | Pushing Daisies, The West Wing |
| Hamilton | Lin-Manuel Miranda | Alexander Hamilton | Composer/performer known for stage and screen work | Moana, Mary Poppins Returns |
| The Lion King | Heather Headley | Nala | Grammy-winning vocalist and actress | Chicago Med |
| Chicago | Bebe Neuwirth | Roxie Hart | Tony-winning dancer/actor | Frasier |
| Cabaret | Alan Cumming | Emcee | Actor known for theatre and film | X2, The Good Wife |
| Rent | Adam Pascal | Roger | Singer/actor | School of Rock |
| The Book of Mormon | Josh Gad | Elder Cunningham | Actor in stage and film/TV | Frozen, The Daily Show |
| Les Misérables | Lea Salonga | Éponine | Singer and actress | Numerous TV specials |
| Hadestown | André De Shields | Hermes | Stage actor | Film and TV guest roles |
