# ERP Vendor Annual Lobbying and Compliance Spending (USD) — Not Product Pricing

| Organization | Year | Total Lobbying Spend (USD) | Compliance Consulting (USD) | Law Firm Retainers (USD) | Notes |
|---|---:|---:|---:|---:|---|
| Oracle Corporation | 2021 | 1760000 | 220000 | 480000 | Public-policy reporting category |
| SAP SE (US operations) | 2021 | 980000 | 150000 | 260000 | Includes multiple filings |
| Microsoft Corporation | 2021 | 9500000 | 1200000 | 2100000 | Broad policy portfolio |
| IBM Corporation | 2021 | 4100000 | 600000 | 900000 | Not tied to software list prices |
| Salesforce, Inc. | 2021 | 2100000 | 310000 | 550000 | Advocacy and industry coalitions |
| Workday, Inc. | 2021 | 620000 | 95000 | 140000 | Corporate affairs spend |
| ServiceNow, Inc. | 2021 | 540000 | 80000 | 125000 | Government relations budget |
| Cisco Systems | 2021 | 2400000 | 300000 | 520000 | Not ERP product pricing |
| Adobe Inc. | 2021 | 450000 | 70000 | 110000 | Unrelated to ERP costs |
| NetSuite (Oracle business unit) | 2021 | 0 | 0 | 0 | Typically reported at parent level |
