# Retail Mortgage and Consumer Loan Rates by Lender (International Comparison)

| Country | Lender | Loan Product | Rate Type | Term | Typical Rate | Fees Included | Notes |
|---|---|---|---|---|---:|---|---|
| United States | Wells Fargo | 30-year Mortgage | Fixed | 30Y | 6.65% | No | Prime borrower |
| United Kingdom | Nationwide | Residential Mortgage | Fixed | 2Y | 5.10% | Yes | Reverts to SVR |
| Germany | Commerzbank | Home Loan | Fixed | 10Y | 3.55% | No | LTV dependent |
| Australia | ANZ | Home Loan | Variable | NA | 6.35% | Yes | Offset optional |
| Canada | TD | Mortgage | Fixed | 5Y | 5.40% | No | Insured vs uninsured |
| Japan | SMBC | Housing Loan | Variable | NA | 0.55% | No | Introductory |
| India | HDFC | Home Loan | Floating | NA | 8.60% | Yes | Spread by profile |
| Brazil | Itaú | Personal Loan | Fixed | 36M | 3.20% (monthly) | No | Non-APR monthly rate |
| South Africa | ABSA | Home Loan | Prime-linked | NA | 11.75% | Yes | Prime + margin |
| Mexico | Banorte | Mortgage | Fixed | 20Y | 10.90% | No | CAT varies |
| France | BNP Paribas | Mortgage | Fixed | 20Y | 3.90% | Yes | Insurance extra |
