# Asian Countries and Their Official Currencies (Reference List  West, Central & South Asia)

| Subregion | Country | Currency | ISO 4217 Code |
|---|---|---|---|
| West Asia | Bahrain | Bahraini Dinar | BHD |
| West Asia | Iran | Iranian Rial | IRR |
| West Asia | Iraq | Iraqi Dinar | IQD |
| West Asia | Israel | Israeli New Shekel | ILS |
| West Asia | Jordan | Jordanian Dinar | JOD |
| West Asia | Kuwait | Kuwaiti Dinar | KWD |
| West Asia | Lebanon | Lebanese Pound | LBP |
| West Asia | Oman | Omani Rial | OMR |
| West Asia | Qatar | Qatari Riyal | QAR |
| West Asia | Saudi Arabia | Saudi Riyal | SAR |
| West Asia | Syria | Syrian Pound | SYP |
| West Asia | United Arab Emirates | UAE Dirham | AED |
| West Asia | Yemen | Yemeni Rial | YER |
| Central Asia | Kazakhstan | Kazakhstani Tenge | KZT |
| Central Asia | Kyrgyzstan | Kyrgyzstani Som | KGS |
| Central Asia | Tajikistan | Tajikistani Somoni | TJS |
| Central Asia | Turkmenistan | Turkmenistani Manat | TMT |
| Central Asia | Uzbekistan | Uzbekistani Soʻm | UZS |
| South Asia | Afghanistan | Afghan Afghani | AFN |
| South Asia | Bangladesh | Bangladeshi Taka | BDT |
| South Asia | Bhutan | Bhutanese Ngultrum | BTN |
| South Asia | India | Indian Rupee | INR |
| South Asia | Maldives | Maldivian Rufiyaa | MVR |
| South Asia | Nepal | Nepalese Rupee | NPR |
| South Asia | Pakistan | Pakistani Rupee | PKR |
| South Asia | Sri Lanka | Sri Lankan Rupee | LKR |
