# Supported Player Counts for Popular Tabletop Board Games

| Game | Min Players | Max Players | Player Range (as listed) | Publisher | First Release |
| --- | --- | --- | --- | --- | --- |
| Catan | 3 | 4 | 3–4 players | Kosmos | 1995 |
| Ticket to Ride | 2 | 5 | 2–5 players | Days of Wonder | 2004 |
| Carcassonne | 2 | 5 | 2–5 players | Hans im Glück | 2000 |
| Pandemic | 2 | 4 | 2–4 players | Z-Man Games | 2008 |
| 7 Wonders | 2 | 7 | 2–7 players | Repos Production | 2010 |
| Azul | 2 | 4 | 2–4 players | Plan B Games | 2017 |
| Terraforming Mars | 1 | 5 | 1–5 players | FryxGames | 2016 |
| Root | 2 | 4 | 2–4 players | Leder Games | 2018 |
| Wingspan | 1 | 5 | 1–5 players | Stonemaier Games | 2019 |
