# Moon Phases by Calendar Date for a Sample Month (Local Time)

| Date | Phase label | Rise/Set window | Moon age (days) |
| --- | --- | --- | --- |
| Jan 02 | Waxing Crescent | Evening | 2.3 |
| Jan 05 | Waxing Crescent | Evening | 5.2 |
| Jan 07 | First Quarter | Afternoon–night | 7.4 |
| Jan 10 | Waxing Gibbous | Afternoon–night | 10.4 |
| Jan 13 | Full Moon | Sunset–sunrise | 14.9 |
| Jan 17 | Waning Gibbous | Late night–morning | 18.6 |
| Jan 20 | Last Quarter | Midnight–morning | 22.1 |
| Jan 25 | Waning Crescent | Pre-dawn | 26.7 |
| Jan 31 | New Moon | Daytime | 0.0 |
