# Olympus Imaging Patents Referencing Digital SLR Technology (Selected Filings)

| Patent / Application | Filing date | Publication date | Applicant | Short title | Notes |
| --- | --- | --- | --- | --- | --- |
| US20060133102A1 | Nov 29, 2004 | Jun 22, 2006 | Olympus Imaging Corp. | Dust reduction for image sensor | Mentions interchangeable-lens camera bodies |
| US20070217144A1 | Mar 14, 2006 | Sep 20, 2007 | Olympus Corp. | Live View display control | General camera control method |
| US20080144821A1 | Dec 14, 2006 | Jun 19, 2008 | Olympus Corp. | Autofocus drive control | Not limited to DSLR; also mirrorless |
| US20090251787A1 | Apr 4, 2008 | Oct 8, 2009 | Olympus Corp. | Image stabilization coordination | References lens/body coordination |
| US20100182640A1 | Jan 16, 2009 | Jul 22, 2010 | Olympus Corp. | Exposure control using subject detection | Broad digital camera scope |
| US20110103425A1 | Oct 29, 2009 | May 5, 2011 | Olympus Corp. | Electronic viewfinder switching | Applicable to multiple product lines |
| WO2011158123A1 | Jun 10, 2010 | Dec 22, 2011 | Olympus Corp. | Lens communication protocol | Interface-level description |
| EP2459012A1 | Nov 18, 2010 | May 30, 2012 | Olympus Corp. | Image processing pipeline | Mentions RAW workflow |
| JP2013187742A | Mar 12, 2012 | Sep 19, 2013 | Olympus Corp. | Noise reduction in high ISO | General imaging method |
| US20140191677A1 | Jan 10, 2013 | Jul 10, 2014 | Olympus Corp. | Shutter control timing | Includes mechanical shutter references |
| US20150319301A1 | May 5, 2014 | Nov 5, 2015 | Olympus Corp. | Flicker reduction | Not model-specific |
| WO2017068129A1 | Oct 14, 2015 | Apr 27, 2017 | Olympus Corp. | Sensor readout optimization | Broad camera applicability |
