# Common BitTorrent Clients by Platform and License

| Client | Primary Platform(s) | License / Model | Typical UI | Notable Feature / Note |
| --- | --- | --- | --- | --- |
| qBittorrent | Windows, macOS, Linux | Open-source (GPL) | Desktop GUI | Often used as an ad-free alternative to ad-supported clients |
| Transmission | macOS, Linux, BSD | Open-source (MIT) | Desktop GUI | Lightweight client commonly bundled with some Linux distros |
| Deluge | Windows, macOS, Linux | Open-source (GPL) | Desktop GUI / Daemon | Can run as a background daemon with a separate UI |
| rTorrent | Linux, BSD | Open-source (GPL) | Terminal (ncurses) | Frequently used on seedboxes via SSH |
| aria2 | Windows, macOS, Linux | Open-source (GPL) | CLI | Multi-protocol downloader with BitTorrent support |
| BiglyBT | Windows, macOS, Linux | Open-source | Desktop GUI | Community-driven fork in the Vuze/Azureus family |
| Tixati | Windows, Linux | Freeware | Desktop GUI | Focuses on detailed peer/transfer statistics |
| BitComet | Windows | Freeware | Desktop GUI | A long-running Windows client often referenced in network traffic signatures |
| μTorrent (uTorrent) | Windows, macOS | Freeware (ad-supported variants) | Desktop GUI | Popular legacy client; lightweight footprint |
| WebTorrent Desktop | Windows, macOS, Linux | Open-source | Desktop GUI | Uses WebRTC-based swarming; convenient for streaming-compatible torrents |
| Tribler | Windows, macOS, Linux | Open-source | Desktop GUI | Research-oriented client with decentralized discovery features |
