# Healthy Grocery Basket Cost Comparison (Typical U.S. Retail Prices)

| Category | Item / Option | Package Size | Price (USD) | Price per Unit (USD) | Notes |
| --- | --- | --- | ---:| ---:| --- |
| Whole grains | Rolled oats | 42 oz | 4.79 | 0.11 / oz | Budget-friendly staple for breakfast |
| Whole grains | Quinoa | 16 oz | 6.99 | 0.44 / oz | Higher-cost whole grain alternative |
| Proteins | Chicken breast (boneless) | 1 lb | 4.49 | 4.49 / lb | Lean protein, mid-range cost |
| Proteins | Canned chickpeas | 15 oz can | 1.19 | 0.08 / oz | Low-cost plant protein |
| Proteins | Wild-caught salmon (frozen) | 12 oz | 10.99 | 0.92 / oz | Often pricier “healthy” protein choice |
| Dairy / alternatives | Greek yogurt (plain) | 32 oz | 5.49 | 0.17 / oz | Higher protein than regular yogurt |
| Dairy / alternatives | Unsweetened almond milk | 64 oz | 3.29 | 0.05 / oz | Shelf-stable alternative |
| Produce | Apples | 3 lb bag | 4.99 | 1.66 / lb | Widely available, moderate cost |
| Produce | Baby spinach | 10 oz | 3.49 | 0.35 / oz | Convenience greens can cost more |
| Produce | Frozen mixed vegetables | 32 oz | 2.99 | 0.09 / oz | Often cheapest per serving |
| Snacks | Mixed nuts (unsalted) | 16 oz | 8.99 | 0.56 / oz | Nutrient-dense but higher price |
| Snacks | Carrots | 2 lb bag | 1.79 | 0.90 / lb | Low-cost snack/side |
| Pantry | Extra virgin olive oil | 16.9 oz | 9.99 | 0.59 / oz | “Healthy fat” with higher upfront cost |
