# PGA Free Live Odds and Scores - Sports News Live Odds PGA Odds PGA Scores PGA Sports News Sports Events - Odds and News Odds & News

| Pos | 1 | 2 | 3 | T4 | T4 | T4 | T4 | T8 | T8 | 10 | T11 | T11 | T11 | T11 | T15 | T15 | T17 | T17 | T17 | T17 | T17 | T22 | T22 | T22 | T22 | T22 | T22 | T22 | T29 | T29 | T29 | T32 | T32 | T34 | T34 | T34 | T34 | T34 | T34 | T34 | T34 | T42 | T42 | T44 | T44 | T44 | T44 | T44 | T49 | T49 | T49 | T49 | T49 | T49 | T49 | T49 | T49 | T58 | T58 | T58 | T61 | T61 | T61 | T61 | T61 | T66 | T66 | T68 | T68 | T68 | 71 | 72 | 73 | T74 | T74 | T74 | T74 | T78 | T78 | 80 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Player | Tiger Woods | Bo Van Pelt | Adam Scott | Seung-Yul Noh | Jhonattan Vegas | Robert Garrigus | Billy Hurley III | Jason Day | Hunter Mahan | Nick Watney | John Mallinger | Brendon de Jonge | Martin Laird | Brian Harman | Chez Reavie | Ryan Palmer | Greg Owen | Daniel Summerhays | John Huh | Sang-Moon Bae | Greg Chalmers | Ben Crane | Charley Hoffman | Stewart Cink | Kyle Stanley | Rod Pampling | Sean O'Hair | Jeff Overton | Troy Matteson | Pat Perez | Roberto Castro | Marc Leishman | Jimmy Walker | Andres Romero | Brandt Jobe | Hunter Haas | Martin Flores | Jim Furyk | Bud Cauley | Ben Curtis | Heath Slocum | Bobby Gates | Bryce Molder | Kyung-Tae Kim | D.J. Trahan | Cameron Tringale | Will Claxton | Dustin Johnson | Brian Davis | Ricky Barnes | Graham DeLaet | Blake Adams | Charlie Wi | Chris DiMarco | Vijay Singh | William McGirt | George McNeill | Ryan Moore | Harris English | Kevin Chappell | Ryuji Imada | Trevor Immelman | James Driscoll | Y.E. Yang | Rory Sabbatini | Bob Estes | Patrick Cantlay | Erik Compton | Charles Howell III | Brendan Steele | J.J. Killeen | Brendon Todd | Gary Woodland | Beau Hossler (a) | Justin Leonard | Davis Love III | Arjun Atwal | J.B. Holmes | Vaughn Taylor | J.J. Henry |
| Money Won | 1,170,000 | 702,000 | 442,000 | 255,938 | 255,938 | 255,938 | 255,938 | 195,000 | 195,000 | 175,500 | 143,000 | 143,000 | 143,000 | 143,000 | 113,750 | 113,750 | 91,000 | 91,000 | 91,000 | 91,000 | 91,000 | 58,593 | 58,593 | 58,593 | 58,593 | 58,593 | 58,593 | 58,593 | 44,200 | 44,200 | 44,200 | 39,325 | 39,325 | 31,444 | 31,444 | 31,444 | 31,444 | 31,444 | 31,444 | 31,444 | 31,444 | 24,700 | 24,700 | 20,202 | 20,202 | 20,202 | 20,202 | 20,202 | 15,528 | 15,528 | 15,528 | 15,528 | 15,528 | 15,528 | 15,528 | 15,528 | 15,528 | 14,430 | 14,430 | 14,430 | 13,910 | 13,910 | 13,910 | 13,910 | 13,910 | 13,455 | 13,455 | 13,130 | 13,130 | 13,130 | 12,870 | 12,610 | 12,350 | 71 | 12,350 | 12,350 | 12,350 | 12,025 | 12,025 | 11,830 |
| 1 | 72 | 67 | 75 | 70 | 71 | 70 | 69 | 69 | 70 | 70 | 70 | 68 | 72 | 72 | 72 | 74 | 70 | 70 | 72 | 75 | 72 | 77 | 72 | 70 | 72 | 71 | 73 | 79 | 73 | 69 | 74 | 70 | 68 | 73 | 70 | 74 | 75 | 73 | 73 | 74 | 76 | 74 | 78 | 72 | 75 | 74 | 73 | 70 | 74 | 74 | 74 | 72 | 70 | 76 | 68 | 72 | 73 | 73 | 71 | 72 | 72 | 74 | 70 | 76 | 74 | 74 | 72 | 73 | 70 | 71 | 72 | 72 | 72 | 74 | 75 | 70 | 76 | 72 | 71 | 77 |
| 2 | 68 | 73 | 67 | 68 | 70 | 67 | 73 | 72 | 65 | 72 | 72 | 69 | 69 | 73 | 72 | 67 | 75 | 73 | 73 | 68 | 71 | 70 | 68 | 68 | 75 | 67 | 72 | 69 | 70 | 69 | 73 | 70 | 69 | 71 | 72 | 72 | 71 | 73 | 71 | 74 | 70 | 68 | 69 | 74 | 72 | 65 | 75 | 76 | 69 | 72 | 74 | 75 | 75 | 71 | 70 | 76 | 72 | 75 | 74 | 73 | 74 | 68 | 76 | 72 | 73 | 74 | 71 | 73 | 73 | 76 | 75 | 76 | 74 | 77 | 71 | 76 | 72 | 70 | 76 | 71 |
| 3 | 67 | 67 | 70 | 69 | 68 | 73 | 66 | 70 | 73 | 69 | 68 | 69 | 73 | 71 | 67 | 69 | 67 | 69 | 67 | 68 | 72 | 71 | 71 | 74 | 68 | 75 | 67 | 68 | 69 | 72 | 70 | 71 | 75 | 74 | 70 | 73 | 72 | 74 | 71 | 73 | 70 | 75 | 72 | 72 | 71 | 76 | 71 | 71 | 72 | 72 | 71 | 72 | 74 | 74 | 73 | 73 | 73 | 73 | 73 | 72 | 73 | 77 | 73 | 72 | 73 | 73 | 71 | 72 | 74 | 74 | 73 | 73 | 75 | - | 76 | 76 | 74 | 81 | 76 | 76 |
| 4 | 69 | 71 | 67 | 73 | 71 | 70 | 72 | 70 | 73 | 71 | 73 | 77 | 69 | 67 | 73 | 74 | 73 | 73 | 73 | 74 | 70 | 68 | 75 | 74 | 71 | 73 | 74 | 70 | 75 | 77 | 70 | 77 | 76 | 71 | 77 | 70 | 71 | 69 | 74 | 68 | 73 | 73 | 71 | 73 | 73 | 76 | 72 | 74 | 77 | 74 | 73 | 73 | 73 | 71 | 81 | 71 | 74 | 72 | 75 | 76 | 76 | 76 | 76 | 75 | 75 | 75 | 82 | 79 | 80 | 76 | 79 | 79 | 80 | +6 | - | - | - | - | - | - |
| Today | -2 | E | -4 | +2 | E | -1 | +1 | -1 | +2 | E | +2 | +6 | -2 | -4 | +2 | +3 | +2 | +2 | +2 | +3 | -1 | -3 | +4 | +3 | E | +2 | +3 | -1 | +4 | +6 | -1 | +6 | +5 | E | +6 | -1 | E | -2 | +3 | -3 | +2 | +2 | E | +2 | +2 | +5 | +1 | +3 | +6 | +3 | +2 | +2 | +2 | E | +10 | E | +3 | +1 | +4 | +5 | +5 | +5 | +5 | +4 | +4 | +4 | +11 | +8 | +9 | +5 | +8 | +8 | +9 | +9 | +5 | +5 | +3 | +10 | +5 | +5 |
| Score | -8 | -6 | -5 | -4 | -4 | -4 | -4 | -3 | -3 | -2 | -1 | -1 | -1 | -1 | E | E | +1 | +1 | +1 | +1 | +1 | +2 | +2 | +2 | +2 | +2 | +2 | +2 | +3 | +3 | +3 | +4 | +4 | +5 | +5 | +5 | +5 | +5 | +5 | +5 | +5 | +6 | +6 | +7 | +7 | +7 | +7 | +7 | +8 | +8 | +8 | +8 | +8 | +8 | +8 | +8 | +8 | +9 | +9 | +9 | +11 | +11 | +11 | +11 | +11 | +12 | +12 | +13 | +13 | +13 | +15 | +16 | +17 | F | +9 | +9 | +9 | +10 | +10 | +11 |
| Hole | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | F | 222 | F | F | F | F | F | F |
| Strokes | 276 | 278 | 279 | 280 | 280 | 280 | 280 | 281 | 281 | 282 | 283 | 283 | 283 | 283 | 284 | 284 | 285 | 285 | 285 | 285 | 285 | 286 | 286 | 286 | 286 | 286 | 286 | 286 | 287 | 287 | 287 | 288 | 288 | 289 | 289 | 289 | 289 | 289 | 289 | 289 | 289 | 290 | 290 | 291 | 291 | 291 | 291 | 291 | 292 | 292 | 292 | 292 | 292 | 292 | 292 | 292 | 292 | 293 | 293 | 293 | 295 | 295 | 295 | 295 | 295 | 296 | 296 | 297 | 297 | 297 | 299 | 300 | 301 |  | 222 | 222 | 222 | 223 | 223 | 224 |
