# Household Chemicals Reference List (CAS Registry) with Minimal Strength Information

| Chemical name | CAS number | Common household occurrence | Strength / concentration field |
|---|---|---|---|
| Sodium hypochlorite | 7681-52-9 | Bleach | Not specified |
| Hydrogen peroxide | 7722-84-1 | Antiseptic | Not specified |
| Isopropyl alcohol | 67-63-0 | Rubbing alcohol | Not specified |
| Acetic acid | 64-19-7 | Vinegar | Not specified |
| Sodium hydroxide | 1310-73-2 | Drain opener | Not specified |
| Hydrochloric acid | 7647-01-0 | Toilet cleaner | Not specified |
| Ammonium hydroxide | 1336-21-6 | Ammonia cleaner | Not specified |
| Sodium carbonate | 497-19-8 | Laundry booster | Not specified |
| Sodium percarbonate | 15630-89-4 | Oxygen bleach | Not specified |
| Benzalkonium chloride | 8001-54-5 | Disinfectant wipes | Not specified |
| Ethylene glycol | 107-21-1 | Antifreeze | Not specified |
| Sodium lauryl sulfate | 151-21-3 | Dish soap/shampoo | Not specified |
