# Olympus Four Thirds (Digital SLR) Zuiko Digital Lens Lineup by Category

| Category | Lens model (Four Thirds mount) | Focal length | Max aperture | Format coverage | Notes |
| --- | --- | --- | --- | --- | --- |
| Ultra-wide zoom | Zuiko Digital ED 7-14mm | 7–14mm | f/4.0 | Four Thirds | Pro-grade ultra-wide; ED glass |
| Wide zoom | Zuiko Digital ED 11-22mm | 11–22mm | f/2.8–3.5 | Four Thirds | Fast-ish wide zoom |
| Standard zoom | Zuiko Digital 14-42mm | 14–42mm | f/3.5–5.6 | Four Thirds | Kit-style standard zoom |
| Standard zoom (sealed) | Zuiko Digital 14-54mm II | 14–54mm | f/2.8–3.5 | Four Thirds | Weather-resistant update |
| Standard zoom (pro) | Zuiko Digital ED 12-60mm SWD | 12–60mm | f/2.8–4.0 | Four Thirds | High-end walkaround; SWD AF |
| Standard zoom (pro) | Zuiko Digital ED 14-35mm SWD | 14–35mm | f/2.0 | Four Thirds | Constant f/2; pro zoom |
| Tele zoom | Zuiko Digital ED 40-150mm | 40–150mm | f/4.0–5.6 | Four Thirds | Lightweight tele zoom |
| Tele zoom (pro) | Zuiko Digital ED 50-200mm SWD | 50–200mm | f/2.8–3.5 | Four Thirds | Pro tele zoom; SWD AF |
| Super-tele zoom | Zuiko Digital ED 70-300mm | 70–300mm | f/4.0–5.6 | Four Thirds | Budget long zoom |
| Super-tele prime | Zuiko Digital ED 300mm | 300mm | f/2.8 | Four Thirds | Pro super-tele |
| Standard prime | Zuiko Digital 25mm | 25mm | f/2.8 | Four Thirds | Compact “pancake”-style prime |
| Portrait prime | Zuiko Digital ED 50mm Macro | 50mm | f/2.0 | Four Thirds | 1:2 macro; portrait-friendly |
| Macro prime | Zuiko Digital ED 35mm Macro | 35mm | f/3.5 | Four Thirds | 1:1 macro |
| Portrait prime (pro) | Zuiko Digital ED 150mm | 150mm | f/2.0 | Four Thirds | Pro telephoto prime |
| Fisheye | Zuiko Digital ED 8mm Fisheye | 8mm | f/3.5 | Four Thirds | Fisheye prime |
