# Breakthrough Discoveries in Modern Physics (with Publication Year)

| Discovery | Exact Year | Field | Key Evidence/Method | Primary Location/Facility | Why It Mattered |
| --- | --- | --- | --- | --- | --- |
| Higgs boson observation | 2012 | Particle physics | Proton–proton collision data | CERN (LHC) | Completed the Standard Model’s mass mechanism |
| Gravitational waves (binary black hole merger) | 2016 | Astrophysics | Laser interferometry signal | LIGO (Hanford/Livingston) | Opened gravitational-wave astronomy |
| First image of a black hole (M87*) | 2019 | Astronomy | VLBI telescope array imaging | Event Horizon Telescope | Directly constrained strong-gravity models |
| Accelerating expansion of the universe | 1998 | Cosmology | Type Ia supernovae distance measurements | Multiple observatories | Introduced dark energy as dominant component |
| Evidence for neutrino oscillations (solar neutrinos) | 2001 | Particle physics | Neutrino flavor change | SNO (Canada) | Showed neutrinos have mass |
| Exoplanet around a Sun-like star (51 Pegasi b) | 1995 | Astronomy | Radial velocity wobble | Observatoire de Haute-Provence | Launched modern exoplanet era |
| CRISPR-Cas9 as a genome-editing tool | 2012 | Molecular biology | RNA-guided DNA cleavage | Lab-based demonstration | Transformed genetic engineering |
| Room-temperature superconductivity claim (hydride systems) | 2020 | Materials science | High-pressure measurements | Diamond-anvil experiments | Suggested new pathways to superconductors |
| mRNA vaccine platform validated at scale | 2020 | Immunology | Phase III efficacy + real-world data | Multisite clinical trials | Enabled rapid vaccine development |
| First synthetic bacterial genome cell | 2010 | Synthetic biology | Genome synthesis + transplantation | J. Craig Venter Institute | Demonstrated programmable life systems |
