# Country-to-Currency Lookup (Selected Africa, Middle East, and Asia)

| Region > Subregion | Country | Official currency | ISO code | Symbol | Notes |
| --- | --- | --- | --- | --- | --- |
| Africa > West Africa | Nigeria | Nigerian naira | NGN | ₦ | 1 naira = 100 kobo |
| Africa > East Africa | Kenya | Kenyan shilling | KES | KSh | 1 shilling = 100 cents |
| Africa > East Africa | Tanzania | Tanzanian shilling | TZS | TSh | Commonly subdivided into cents (rare in use) |
| Africa > Southern Africa | South Africa | South African rand | ZAR | R | 1 rand = 100 cents |
| Middle East > Gulf | United Arab Emirates | UAE dirham | AED | د.إ | 1 dirham = 100 fils |
| Middle East > Gulf | Saudi Arabia | Saudi riyal | SAR | ر.س | 1 riyal = 100 halalas |
| South Asia | India | Indian rupee | INR | ₹ | 1 rupee = 100 paise |
| Southeast Asia | Indonesia | Indonesian rupiah | IDR | Rp | 1 rupiah = 100 sen (historical/rare) |
| East Asia | Japan | Japanese yen | JPY | ¥ | No minor unit in circulation |
| East Asia | China | Renminbi (yuan) | CNY | ¥ / 元 | 1 yuan = 10 jiao = 100 fen |
