# Moon Phase Calendar with Festival Holiday Annotations (Sample Year)

| Month | Date | Listed Moon Phase | Festival / Holiday | Location | Notes |
| --- | --- | --- | --- | --- | --- |
| January | Jan 06 | New Moon | Epiphany | Various | Public observances vary |
| January | Jan 21 | Full Moon | Winter Gathering | Local | Community event, not astronomical |
| February | Feb 05 | New Moon | Lantern Festival | East Asia | Lunar-calendar holiday |
| February | Feb 19 | Full Moon | Snow Moon Celebration | North America | Traditional name used |
| March | Mar 06 | New Moon | Regional Day Off | Local | Date-based holiday |
| March | Mar 21 | Full Moon | Spring Equinox Week | Various | Seasonal observance |
| April | Apr 05 | New Moon | Community Market | Local | Not tied to phase progression |
| April | Apr 19 | Full Moon | Easter-related Observance | Various | Calendar linkage |
| May | May 05 | New Moon | Cultural Festival | Various | Festival schedule |
| May | May 18 | Full Moon | Vesak (approx.) | Various | Religious holiday timing |
