# Third-Party Lenses Commonly Used on Olympus Four Thirds via Adapters (non-Olympus lens lineup)

| Brand | Lens model | Native mount | How used on Olympus DSLR | AF support | Notes |
|---|---|---|---|---|---|
| Sigma | 30mm f/1.4 EX DC | Canon EF | EF-to-FourThirds adapter | Manual focus only | Example of cross-system adapting |
| Sigma | 10-20mm f/4-5.6 EX DC | Nikon F | F-to-FourThirds adapter | Manual focus only | Coverage depends on crop factor |
| Tamron | 90mm f/2.8 Macro | Canon EF | EF-to-FourThirds adapter | Manual focus only | Popular macro option |
| Tokina | 11-16mm f/2.8 | Nikon F | F-to-FourThirds adapter | Manual focus only | Often adapted for ultra-wide use |
| Panasonic | Leica DG 25mm f/1.4 | Micro Four Thirds | Not compatible with Four Thirds DSLR bodies | N/A | Included as an alternative system lens |
| Samyang | 14mm f/2.8 | Canon EF | EF-to-FourThirds adapter | Manual focus only | Fully manual lens |
| Zeiss | Planar 50mm f/1.4 | Contax/Yashica | C/Y-to-FourThirds adapter | Manual focus only | Legacy manual-focus lens |
| Canon | EF 50mm f/1.8 II | Canon EF | EF-to-FourThirds adapter | Manual focus only | Cheap adapted prime |
| Nikon | AF-S 35mm f/1.8G | Nikon F | F-to-FourThirds adapter | Manual focus only | G lenses need aperture control adapter |
