# Top Box Office by Distributor Label (Per-Year Rollup, Not Per-Film)

| Distributor Label | Year | Releases (Count) | Domestic Gross (USD) | International Gross (USD) | Worldwide Gross (USD) | Highest-Grossing Title (That Year) | Avg Gross per Release |
| --- | ---: | ---: | ---: | ---: | ---: | --- | ---: |
| Focus Features | 2018 | 11 | $210,000,000 | $165,000,000 | $375,000,000 | BlacKkKlansman | $34,090,909 |
| Focus Features | 2019 | 9 | $145,000,000 | $120,000,000 | $265,000,000 | Downton Abbey | $29,444,444 |
| Focus Features | 2020 | 7 | $48,000,000 | $22,000,000 | $70,000,000 | Promising Young Woman | $10,000,000 |
| Focus Features | 2021 | 10 | $120,000,000 | $95,000,000 | $215,000,000 | Belfast | $21,500,000 |
| Focus Features | 2022 | 12 | $155,000,000 | $130,000,000 | $285,000,000 | The Northman | $23,750,000 |
| A24 | 2018 | 18 | $95,000,000 | $55,000,000 | $150,000,000 | Hereditary | $8,333,333 |
| A24 | 2019 | 20 | $110,000,000 | $70,000,000 | $180,000,000 | Uncut Gems | $9,000,000 |
| A24 | 2020 | 14 | $32,000,000 | $18,000,000 | $50,000,000 | Minari | $3,571,429 |
| A24 | 2021 | 22 | $85,000,000 | $65,000,000 | $150,000,000 | The Green Knight | $6,818,182 |
| A24 | 2022 | 24 | $160,000,000 | $110,000,000 | $270,000,000 | Everything Everywhere All at Once | $11,250,000 |
