# Iconic Fast Cars — Without Any Film Game Context (Unattributed List)

| Vehicle | Generation/Trim | Claimed Top Speed (mph) | Why People Call It "Fast" | Source Context |
|---|---|---:|---|---|
| Nissan GT-R | R35 | 196 | AWD launch performance | Not specified |
| Toyota Supra | Mk4 Twin Turbo | 155* | Tuning potential | Not specified |
| Mazda RX-7 | FD3S | 155* | Lightweight rotary | Not specified |
| Dodge Charger | 1969 R/T | 147 | Big-block muscle | Not specified |
| Ford Mustang | Shelby GT500 | 180 | Supercharged V8 | Not specified |
| Chevrolet Camaro | ZL1 | 198 | Track package | Not specified |
| Lamborghini Huracán | EVO | 202 | Supercar performance | Not specified |
| McLaren 720S | Performance | 212 | Power-to-weight | Not specified |
| Bugatti Veyron | 16.4 | 253 | Hypercar benchmark | Not specified |
