# Gonzaga at Duke | 2009-12-19 | College Basketball | Yahoo! Sports

| Players | Robert Sacre | Steven Gray | Manny Arop | Elias Harris | Bol Kong | Matt Bouldin | Will Foster | Demetri Goodson | G.J. Vilarino | Grant Gibbs | Andy Poling | Kelly Olynyk | Mike Hart | Totals | Percentages |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Min | 29 | 29 | 16 | 25 | 17 | 32 | 4 | 22 | 5 | 6 | 0 | 11 | 4 |  |  |
| FG | 2-11 | 3-8 | 3-9 | 2-8 | 2-2 | 1-7 | 1-1 | 1-3 | 0-1 | 0-1 | 0-0 | 0-3 | 0-0 | 15-54 | 27.8% |
| 3pt | 0-0 | 0-4 | 0-0 | 0-1 | 1-1 | 0-3 | 0-0 | 0-0 | 0-1 | 0-0 | 0-0 | 0-0 | 0-0 | 1-10 | 10.0% |
| FT | 5-8 | 0-0 | 0-3 | 1-2 | 0-0 | 2-2 | 0-0 | 0-2 | 2-2 | 0-2 | 0-0 | 0-0 | 0-0 | 10-21 | 47.6% |
| Off | 1 | 1 | 3 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 8 |  |
| Def | 3 | 2 | 3 | 4 | 0 | 2 | 1 | 3 | 1 | 0 | 0 | 2 | 0 | 21 |  |
| Reb | 4 | 3 | 6 | 5 | 0 | 2 | 1 | 4 | 1 | 0 | 0 | 2 | 1 | 29 |  |
| Ast | 0 | 2 | 0 | 2 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 8 |  |
| TO | 3 | 2 | 0 | 5 | 0 | 5 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 18 |  |
| Stl | 1 | 4 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 9 |  |
| Blk | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 2 |  |
| PF | 1 | 5 | 1 | 1 | 1 | 3 | 0 | 3 | 0 | 1 | 0 | 2 | 1 | 19 |  |
| Pts | 9 | 6 | 6 | 5 | 5 | 4 | 2 | 2 | 2 | 0 | 0 | 0 | 0 | 41 |  |
