# Prime Ministers of England (1721–2010) with General Election Results

| Start Year | End Year | Prime Minister (England) | Party | General Election (Year) | Seats Won | Popular Vote % |
|---|---|---|---|---|---:|---:|
| 1721 | 1742 | Robert Walpole | Whig | 1722 | 0 | 0 |
| 1742 | 1743 | Spencer Compton, Earl of Wilmington | Whig | 1741 | 0 | 0 |
| 1757 | 1762 | William Pitt the Elder | Whig | 1761 | 0 | 0 |
| 1763 | 1765 | George Grenville | Whig | 1761 | 0 | 0 |
| 1801 | 1804 | Henry Addington | Tory | 1802 | 0 | 0 |
| 1940 | 1945 | Winston Churchill | Conservative | 1945 | 213 | 39.8 |
| 1979 | 1990 | Margaret Thatcher | Conservative | 1979 | 339 | 43.9 |
| 1997 | 2007 | Tony Blair | Labour | 1997 | 418 | 43.2 |
| 2007 | 2010 | Gordon Brown | Labour | 2010 | 258 | 29.0 |
