# London (Capital) Attractions by Tube Stop for Fast Routing

| Area cluster | Attraction | Category | Nearest tube/metro station | Line(s) | Walk from station | Quick pairing idea |
|---|---|---|---|---|---|---|
| Westminster | Buckingham Palace | Landmark | Green Park | Jubilee, Piccadilly, Victoria | ~10–15 min | Pair with St James's Park |
| Westminster | Westminster Abbey | Historic church | Westminster | Jubilee, District, Circle | ~2–5 min | Combine with Houses of Parliament nearby |
| Westminster | Churchill War Rooms | Museum | Westminster | Jubilee, District, Circle | ~5–8 min | Good rainy-day stop |
| City / St Paul's | St Paul's Cathedral | Cathedral | St Paul's | Central | ~2–6 min | Walk to Millennium Bridge afterward |
| South Bank | Tate Modern | Art museum | Southwark | Jubilee | ~8–12 min | Continue along the Thames to Borough Market |
| South Bank | Borough Market | Food market | London Bridge | Jubilee, Northern | ~5–8 min | Pair with The Shard viewpoints |
| Tower / Thames East | Tower Bridge | Landmark | Tower Hill | District, Circle | ~6–10 min | Continue to Tower of London |
| Bloomsbury | British Museum | Museum | Tottenham Court Road | Central, Northern, Elizabeth | ~8–12 min | Add Covent Garden for evening |
| West End | Covent Garden Market | Market/Shopping | Covent Garden | Piccadilly | ~2–5 min | Short walk to Leicester Square |
| West End | National Gallery (Trafalgar Square) | Museum | Charing Cross | Northern, Bakerloo (via interchange); National Rail | ~5–8 min | Pair with Leicester Square nightlife |
| Kensington | Natural History Museum | Museum | South Kensington | District, Circle, Piccadilly | ~5–10 min (via subway tunnel) | Pair with Science Museum |
| Kensington | Victoria and Albert Museum (V&A) | Museum | South Kensington | District, Circle, Piccadilly | ~5–10 min | Same station cluster as NHM |
| Greenwich | Royal Observatory Greenwich | Landmark | Cutty Sark for Maritime Greenwich (DLR) | DLR | ~10–15 min | Combine with National Maritime Museum |
| Docklands | Canary Wharf (viewpoints/architecture) | Area/Skyscrapers | Canary Wharf | Jubilee; DLR | ~0–5 min | Pair with riverside walk |
| North London | Camden Market | Market/Shopping | Camden Town | Northern | ~3–7 min | Easy evening stop |
