# Country-to-Currency Quick Reference (Oceania Focus) — Official Currency Details

| Region | Country / Territory | Official currency used | Currency symbol | Subdivision | Notes |
|---|---|---|---|---|---|
| Oceania | Australia | Australian dollar | A$ | 1 dollar = 100 cents | Also used in some external territories |
| Oceania | New Zealand | New Zealand dollar | NZ$ | 1 dollar = 100 cents | Used in Tokelau as well |
| Oceania | Fiji | Fijian dollar | FJ$ | 1 dollar = 100 cents | — |
| Oceania | Papua New Guinea | Papua New Guinean kina | K | 1 kina = 100 toea | — |
| Oceania | Samoa | Samoan tālā | WS$ | 1 tālā = 100 sene | — |
| Oceania | Tonga | Tongan paʻanga | T$ | 1 paʻanga = 100 seniti | — |
| Oceania | Solomon Islands | Solomon Islands dollar | SI$ | 1 dollar = 100 cents | — |
| Oceania | Vanuatu | Vanuatu vatu | VT | No formal subdivision in common use | — |
| Oceania | Kiribati | Australian dollar | A$ | 1 dollar = 100 cents | Uses AUD as legal tender |
| Oceania | Nauru | Australian dollar | A$ | 1 dollar = 100 cents | Uses AUD as legal tender |
| Oceania | Tuvalu | Australian dollar | A$ | 1 dollar = 100 cents | AUD is official; commemorative coins exist |
| Oceania | Marshall Islands | United States dollar | US$ | 1 dollar = 100 cents | USD used as legal tender |
| Oceania | Federated States of Micronesia | United States dollar | US$ | 1 dollar = 100 cents | USD used as legal tender |
| Oceania | Palau | United States dollar | US$ | 1 dollar = 100 cents | USD used as legal tender |
