# ABO Blood-Type Diet Compatibility (Foods → A B AB O with Allowed Neutral Avoid)

| Food (Category) | Type A | Type B | Type AB | Type O |
|---|---|---|---|---|
| Turkey (Poultry) | Neutral | Avoid | Neutral | Allowed |
| Chicken (Poultry) | Neutral | Neutral | Neutral | Neutral |
| Beef (Red meat) | Avoid | Neutral | Avoid | Allowed |
| Lamb (Red meat) | Avoid | Neutral | Avoid | Allowed |
| Salmon (Fish) | Allowed | Allowed | Allowed | Allowed |
| Cod (Fish) | Allowed | Neutral | Allowed | Neutral |
| Milk, cow (Dairy) | Avoid | Allowed | Neutral | Avoid |
| Yogurt (Dairy) | Neutral | Allowed | Allowed | Avoid |
| Wheat bread (Grain) | Avoid | Neutral | Avoid | Avoid |
| Oats (Grain) | Allowed | Neutral | Allowed | Neutral |
| Kidney beans (Legume) | Allowed | Avoid | Allowed | Avoid |
| Tomatoes (Vegetable) | Neutral | Avoid | Neutral | Neutral |
| Broccoli (Vegetable) | Allowed | Allowed | Allowed | Allowed |
| Oranges (Fruit) | Avoid | Neutral | Avoid | Neutral |
| Pineapple (Fruit) | Neutral | Allowed | Allowed | Allowed |
