# England Players by Number of Appearances Under Stuart Pearce

| No. | 1155 | 1145 | 1162 | 1168 | 1153 | 1129 | 1174 | 1175 | 1179 | 1163 | No. | 1100 | 1160 | 1099 | 1134 | 1176 | 1180 | 1142 | 1106 | 1151 | 1140 | No. | 1152 | 1128 | 1125 | 1141 | 1178 | - |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Name | Joe Hart | Micah Richards | Leighton Baines | Gary Cahill | Ashley Young | Scott Parker | Danny Welbeck | Chris Smalling | Daniel Sturridge | Adam Johnson | Name | Gareth Barry | James Milner | Steven Gerrard | Stewart Downing | Phil Jones | Fraizer Campbell | Theo Walcott | Ashley Cole | Joleon Lescott | Rob Green | Name | Scott Carson | Glen Johnson | Wayne Rooney | Darren Bent | Kyle Walker | Tom Cleverley |
| Pos | G | D | D | D | M | M | F | D | F | M | Pos | M | M | M | M | D | F | F | D | D | G | Pos | G | D | F | F | D | M |
| Clubs | Manchester City FC | Manchester City FC | Everton FC | Chelsea FC | Manchester United FC | Tottenham Hotspur FC | Sunderland AFC | Manchester United FC | Chelsea FC | Manchester City FC | Clubs | Manchester City FC | Manchester City FC | Liverpool FC | Liverpool FC | Manchester United FC | Sunderland FC | Arsenal FC | Chelsea FC | Manchester City FC | West Ham United FC | Clubs | Bursaspor KD | Liverpool FC | Manchester United FC | Aston Villa FC | Tottenham Hotspur FC | Manchester United FC |
| St | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 1 | St | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | St | 0 | 0 | 0 | 0 | 0 | 0 |
| Sub on | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | Sub on | 0 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | Sub on | 0 | 0 | 0 | 0 | 0 | 0 |
| App | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | App | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | App | 0 | 0 | 0 | 0 | 0 | 0 |
| Sub off | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | Sub off | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Sub off | 0 | 0 | 0 | 0 | 0 | 0 |
| Not Used | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Not Used | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | Not Used | 1 | 0 | 0 | 0 | 0 | 0 |
| G | 3 GA | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | G | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 GA | G | 0 GA | 0 | 0 | 0 | 0 | 0 |
| Capt | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | Capt | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Capt | 0 | 0 | 0 | 0 | 0 | 0 |
| Mins | 90 | 90 | 90 | 90 | 90 | 90 | 80 | 64 | 55 | 45 | Mins | 45 | 45 | 33 | 29 | 26 | 10 | 2 | 0 | 0 | 0 | Mins | 0 | 0 | 0 | 0 | 0 | 0 |
|  | None | 1 | None | None | None | None | None | None | None | None | Dis | None | None | None | None | None | None | None | None | None | None | Dis | None | None | None | None | None | None |
