# Ingredient Inventory for Household Product Line (Identifiers Only, No Composition)

| Brand Line | Product SKU | Ingredient | CAS No. | Regulatory Listing | Hazard Class (GHS) |
| --- | --- | --- | --- | --- | --- |
| HomeCare Basics | HB-GLS-01 | Ethylene glycol monobutyl ether | 111-76-2 | TSCA | Eye irritation |
| HomeCare Basics | HB-GLS-01 | Fragrance mixture | — | Proprietary | Not classified |
| HomeCare Basics | HB-DISH-02 | Sodium chloride | 7647-14-5 | TSCA | Not classified |
| HomeCare Basics | HB-DISH-02 | Sodium laureth sulfate | 9004-82-4 | TSCA | Skin irritation |
| HomeCare Basics | HB-LAUN-03 | Linear alkylbenzene sulfonate | 68411-30-3 | TSCA | Aquatic chronic |
| HomeCare Basics | HB-LAUN-03 | Sodium carbonate | 497-19-8 | TSCA | Eye irritation |
| HomeCare Basics | HB-BATH-04 | Citric acid | 77-92-9 | TSCA | Eye irritation |
| HomeCare Basics | HB-BATH-04 | Sodium hydroxide | 1310-73-2 | TSCA | Corrosive |
| HomeCare Basics | HB-DRN-05 | Sodium hypochlorite | 7681-52-9 | TSCA | Corrosive |
