# Academy Awards (Not Oscars)  Academy of Country Music Awards Venues and Hosts

| Ceremony (Edition) | Year | Organization | Venue | City | Host(s) |
|---|---:|---|---|---|---|
| 50th ACM Awards | 2015 | Academy of Country Music | AT&T Stadium | Arlington, TX | Luke Bryan / Blake Shelton |
| 51st ACM Awards | 2016 | Academy of Country Music | MGM Grand Garden Arena | Las Vegas, NV | Luke Bryan / Dierks Bentley |
| 52nd ACM Awards | 2017 | Academy of Country Music | T-Mobile Arena | Las Vegas, NV | Luke Bryan / Dierks Bentley |
| 53rd ACM Awards | 2018 | Academy of Country Music | MGM Grand Garden Arena | Las Vegas, NV | Reba McEntire |
| 54th ACM Awards | 2019 | Academy of Country Music | MGM Grand Garden Arena | Las Vegas, NV | Reba McEntire |
| 55th ACM Awards | 2020 | Academy of Country Music | Grand Ole Opry House | Nashville, TN | Keith Urban |
| 56th ACM Awards | 2021 | Academy of Country Music | Grand Ole Opry House | Nashville, TN | Keith Urban |
| 57th ACM Awards | 2022 | Academy of Country Music | Allegiant Stadium | Las Vegas, NV | Dolly Parton |
| 58th ACM Awards | 2023 | Academy of Country Music | Ford Center at The Star | Frisco, TX | Dolly Parton / Garth Brooks |
