# ICD-10 Disease Classification List (No Epidemiologic Frequency Numbers)

| Chapter | Category | Example disease/condition | ICD-10 code | Notes |
|---|---|---|---|---|
| I | Diseases of the circulatory system | Essential (primary) hypertension | I10 | Classification only |
| I | Diseases of the circulatory system | Acute myocardial infarction | I21 | Classification only |
| II | Neoplasms | Malignant neoplasm of breast | C50 | Classification only |
| II | Neoplasms | Malignant neoplasm of colon | C18 | Classification only |
| III | Diseases of blood and immune mechanism | Iron deficiency anemia | D50 | Classification only |
| IV | Endocrine, nutritional and metabolic diseases | Type 2 diabetes mellitus | E11 | Classification only |
| V | Mental and behavioural disorders | Major depressive disorder, single episode | F32 | Classification only |
| VI | Diseases of the nervous system | Parkinson disease | G20 | Classification only |
| X | Diseases of the respiratory system | Asthma | J45 | Classification only |
| XI | Diseases of the digestive system | Crohn disease | K50 | Classification only |
| XII | Diseases of the skin | Atopic dermatitis | L20 | Classification only |
| XIV | Diseases of the genitourinary system | Chronic kidney disease | N18 | Classification only |
