# MLB Team Leadership Snapshot (Captains, Managers, and Key Coaches)

| Team | Club Captain | Manager | Bench Coach | Pitching Coach | Notes |
|---|---|---|---|---|---|
| New York Yankees | Derek Jeter | Joe Girardi | Rob Thomson | Larry Rothschild | Captain listed alongside staff roles |
| Boston Red Sox | Jason Varitek | Terry Francona | DeMarlo Hale | John Farrell | Captain included but table is staff-centric |
| Philadelphia Phillies | Jimmy Rollins | Charlie Manuel | Pete Mackanin | Rich Dubee | Mixed leadership roles |
| St. Louis Cardinals | Yadier Molina | Tony La Russa | Joe McEwing | Dave Duncan | Includes multiple coaches |
| San Francisco Giants | Buster Posey | Bruce Bochy | Ron Wotus | Dave Righetti | Emphasizes coaching hierarchy |
| Texas Rangers | Michael Young | Ron Washington | Steve Liddle | Mike Maddux | Captain included but not primary focus |
| Los Angeles Angels | Torii Hunter | Mike Scioscia | Joe McEwing | Mike Butcher | Captain mixed with coaching information |
| Chicago Cubs | Derrek Lee | Lou Piniella | Alan Trammell | Larry Rothschild | Leadership roles beyond captain |
| Seattle Mariners | Ichiro Suzuki | Don Wakamatsu | Ty Van Burkleo | Rick Adair | Blends captain with staff list |
