# Broadway Musical Directory  Titles Matched to Directors (with Creative Team Details)

| Musical Title | Director | Broadway Opening | Venue (Broadway) | Book / Libretto | Music & Lyrics | Notes |
|---|---|---:|---|---|---|---|
| The Lion King | Julie Taymor | 1997 | Minskoff Theatre | Roger Allers; Irene Mecchi | Elton John; Tim Rice | Stage adaptation of the Disney animated film |
| Les Misérables | Trevor Nunn; John Caird | 1987 | Broadway Theatre | Alain Boublil; Jean-Marc Natel | Claude-Michel Schönberg; Herbert Kretzmer | Original Broadway staging credited to Nunn/Caird |
| Miss Saigon | Nicholas Hytner | 1991 | Broadway Theatre | Alain Boublil; Claude-Michel Schönberg | Claude-Michel Schönberg; Richard Maltby Jr.; Alain Boublil | Mega-musical staging on Broadway |
| West Side Story (Original) | Jerome Robbins | 1957 | Winter Garden Theatre | Arthur Laurents | Leonard Bernstein; Stephen Sondheim | Robbins also choreographed |
| The Producers | Susan Stroman | 2001 | St. James Theatre | Mel Brooks; Thomas Meehan | Mel Brooks | Director also choreographed |
| Hairspray | Jack O'Brien | 2002 | Neil Simon Theatre | Mark O'Donnell; Thomas Meehan | Marc Shaiman; Scott Wittman | Family-friendly Broadway hit |
| Jersey Boys | Des McAnuff | 2005 | August Wilson Theatre | Marshall Brickman; Rick Elice | Bob Gaudio; (songs by) Bob Crewe | Jukebox musical biography |
| Spring Awakening | Michael Mayer | 2006 | Eugene O'Neill Theatre | Steven Sater | Duncan Sheik; Steven Sater | Rock musical adaptation |
| Avenue Q | Jason Moore | 2003 | John Golden Theatre | Jeff Whitty | Robert Lopez; Jeff Marx | Puppet-driven musical comedy |
| Kinky Boots | Jerry Mitchell | 2013 | Al Hirschfeld Theatre | Harvey Fierstein | Cyndi Lauper | Pop score; big dance focus |
