# Eating Out  Cost of Healthier Menu Swaps vs Standard Choices

| Meal Category | Standard Choice | Standard Price (USD) | Healthier Swap | Swap Price (USD) | Price Difference (USD) | Typical Where |
| --- | --- | ---:| --- | ---:| ---:| --- |
| Breakfast | Sweetened flavored latte (16 oz) | 5.25 | Black coffee (16 oz) | 2.75 | -2.50 | Coffee shop |
| Breakfast | Breakfast sandwich (sausage/cheese) | 5.99 | Egg & veggie wrap | 6.49 | 0.50 | Cafe / quick service |
| Lunch | Cheeseburger + fries | 10.99 | Grilled chicken salad | 12.49 | 1.50 | Fast-casual |
| Lunch | White rice bowl (teriyaki chicken) | 11.25 | Brown rice bowl + extra veggies | 12.25 | 1.00 | Bowl concept |
| Lunch | Regular soda | 2.79 | Bottled water / sparkling water | 2.49 | -0.30 | Quick service |
| Dinner | Pepperoni pizza (2 slices) | 7.50 | Veggie pizza (2 slices) | 8.25 | 0.75 | Slice shop |
| Dinner | Fried chicken sandwich | 9.49 | Grilled chicken sandwich | 9.99 | 0.50 | Fast-casual |
| Sides | Fries | 3.49 | Side salad | 4.29 | 0.80 | Fast-casual |
| Add-ons | Regular dressing (2 oz) | 0.00 | Extra protein add-on (chicken) | 3.00 | 3.00 | Salad bar |
| Snacks | Candy bar | 2.19 | Fruit cup | 3.29 | 1.10 | Convenience / cafe |
| Snacks | Chips (single-serve) | 1.99 | Plain yogurt cup | 2.79 | 0.80 | Grab-and-go |
