# PGA Tour Event Field Overview (Profiles and Rankings)

| Player | Country | World Rank | FedExCup Rank | Age | Starts This Season | Notes |
|---|---|---:|---:|---:|---:|---|
| Scottie Scheffler | USA | 1 | 1 | 27 | 6 | Defending champion contender |
| Rory McIlroy | NIR | 2 | 7 | 34 | 5 | Strong driving week-to-week |
| Viktor Hovland | NOR | 4 | 20 | 26 | 4 | Ball-striking focus |
| Xander Schauffele | USA | 5 | 9 | 30 | 6 | Consistent top-10s |
| Collin Morikawa | USA | 12 | 18 | 27 | 6 | Elite iron play |
| Max Homa | USA | 9 | 12 | 33 | 5 | Good recent form |
| Tommy Fleetwood | ENG | 15 | 25 | 32 | 6 | Trending upward |
| Hideki Matsuyama | JPN | 22 | 30 | 31 | 4 | Health monitored |
| Jordan Spieth | USA | 38 | 55 | 30 | 5 | Volatile scoring |
| Justin Thomas | USA | 28 | 40 | 30 | 6 | Working on putter |
| Min Woo Lee | AUS | 35 | 60 | 25 | 3 | Newer to PGA Tour field |
