# Bad ISPs - VuzeWiki

| ISP | CANTV (Movilnet) | Intercable (now Inter) | Digitel | Movistar | NetUno |
| --- | --- | --- | --- | --- | --- |
| limits BitTorrent bandwidth | No | Yes | Yes | ? | ? |
| Tier 1 partners might 1 shape | No | No | ? | ? | ? |
| proposed Encryption level | 0 | 2+ | ?+ | ?+ | ?+ |
| limits bandwidth for accounts with a high traffic volume | No | Yes | Yes | ? | ? |
| limits bandwidth during certain times of the day | No | No | No | ? | ? |
| prevents seeding 2 | No | No | No | ? | ? |
| prevents/filters .torrent download 3 | No | No | No | ? | ? |
| causes unsolvable NAT problem | No | No | ? | ? | ? |
| offers no real flatrate | No | No | ? | ? | ? |
