# Nearest-Neighbor Constellations (IAU Sky Regions) — Example Pairs and Approximate Angular Separation

| Constellation | Nearest constellation (example) | Relationship type | Approx. nearest-border separation (deg) | Reference anchor (bright star / point) | Note |
| --- | --- | --- | --- | --- | --- |
| Orion | Taurus | Adjacent (shares border) | 0.0 | Orion–Taurus border near ζ Tauri | Border-touching neighbor |
| Orion | Gemini | Adjacent (shares border) | 0.0 | Near Betelgeuse direction | Northern boundary contact |
| Taurus | Auriga | Adjacent (shares border) | 0.0 | Near Capella region | Direct border |
| Ursa Major | Canes Venatici | Adjacent (shares border) | 0.0 | Near Alkaid–Cor Caroli area | Common chart neighbor |
| Cygnus | Lyra | Adjacent (shares border) | 0.0 | Around Vega–Deneb corridor | Shares boundary |
| Lyra | Hercules | Adjacent (shares border) | 0.0 | Near β Lyrae side | Bordering constellations |
| Scorpius | Libra | Adjacent (shares border) | 0.0 | Near δ Scorpii side | Western neighbor |
| Sagittarius | Scorpius | Adjacent (shares border) | 0.0 | Near the tail of Scorpius | Direct boundary contact |
| Leo | Virgo | Adjacent (shares border) | 0.0 | Near Denebola–Spica region | Ecliptic neighborhood |
| Andromeda | Pegasus | Adjacent (shares border) | 0.0 | Great Square edge | Common boundary |
| Cassiopeia | Cepheus | Adjacent (shares border) | 0.0 | Near Alderamin direction | Northern sky border |
| Aquarius | Capricornus | Adjacent (shares border) | 0.0 | Along zodiac band | Bordering zodiac constellations |
