# Broadway Revivals  Musicals Matched to Their Directors (Selected Productions)

| Musical (revival/production) | Production type | Broadway season | Stage director (individual) | Lead producer (optional context) |
|---|---|---|---|---|
| Company | Revival | 2021–2022 | Marianne Elliott | Chris Harper |
| Cabaret | Revival | 1998–1999 | Sam Mendes | Robyn Goodman |
| Into the Woods | Revival | 2022–2023 | Lear deBessonet | Jordan Roth |
| Gypsy | Revival | 2008–2009 | Arthur Laurents | David Thompson |
| Sunday in the Park with George | Revival | 2017–2018 | Sarna Lapine | Jeffrey Seller |
| Fiddler on the Roof | Revival | 2015–2016 | Bartlett Sher | Jeffrey Finn |
| The King and I | Revival | 2015–2016 | Bartlett Sher | Lincoln Center Theater |
| She Loves Me | Revival | 2016–2017 | Scott Ellis | Hal Luftig |
| How to Succeed in Business Without Really Trying | Revival | 2011–2012 | Rob Ashford | Craig Zadan |
| West Side Story | Revival | 2009–2011 | Arthur Laurents | Kevin McCollum |
