# Reproductive and Metabolic Hormones  Source and Key Physiologic Actions (One Hormone per Row)

| Hormone | Primary production site(s) | Key physiologic role | Primary effect(s) summary | Common clinical/physiologic context |
|---|---|---|---|---|
| Estrogen (estradiol, E2) | Ovaries (granulosa cells); placenta (pregnancy) | Female reproductive development | Endometrial proliferation; secondary sex traits; bone maintenance | Menstrual cycle follicular phase; pregnancy |
| Progesterone | Corpus luteum; placenta | Pregnancy maintenance | Prepares/maintains endometrium; ↓ uterine contractility; thickens cervical mucus | Luteal phase; pregnancy |
| Testosterone | Testes (Leydig cells); adrenal (minor) | Male reproductive function | Spermatogenesis support; secondary sex traits; anabolic effects | Puberty; adult male physiology |
| Follicle-stimulating hormone (FSH) | Anterior pituitary | Gametogenesis | Stimulates ovarian follicle development; supports spermatogenesis (Sertoli cells) | Regulated by GnRH; inhibited by inhibin |
| Luteinizing hormone (LH) | Anterior pituitary | Ovulation/sex steroid production | Triggers ovulation & corpus luteum formation; stimulates testosterone production | Mid-cycle LH surge; GnRH pulses |
| Gonadotropin-releasing hormone (GnRH) | Hypothalamus | Pituitary control | Pulsatile GnRH → ↑ FSH/LH secretion | Puberty onset; menstrual cycle regulation |
| Inhibin | Gonads (Sertoli/granulosa cells) | Feedback regulation | Inhibits FSH secretion | Reflects gonadal activity |
| Leptin | Adipose tissue | Energy balance signaling | Suppresses appetite; signals energy sufficiency to reproductive axis | Low leptin in starvation; obesity/leptin resistance |
| Ghrelin | Stomach (fundus) | Hunger signaling | Stimulates appetite; promotes GH release | Rises pre-meal; falls post-meal |
| Melatonin | Pineal gland | Circadian timing | Promotes sleep timing; influences reproductive timing in some contexts | Darkness-induced secretion; sleep-wake regulation |
| Calcitonin | Thyroid parafollicular (C) cells | Calcium homeostasis (minor in adults) | Lowers serum Ca2+ by inhibiting osteoclast activity | Elevated serum Ca2+ |
| Human chorionic gonadotropin (hCG) | Placenta (syncytiotrophoblast) | Supports early pregnancy | Maintains corpus luteum → sustains progesterone early pregnancy | Detected in pregnancy tests |
