# Global Disease Risk Overview by Country (Infectious and Non-Communicable Mix)

| Country | Key infectious diseases (examples) | Typical transmission/exposure notes | Major non-communicable risks | Lifestyle/environmental risks | Health system indicator |
|---|---|---|---|---|---|
| Kenya | Malaria, cholera, TB | Mosquito-borne; water/food contamination; airborne | Hypertension, diabetes | Urban air pollution; diet change | Physician density (per 1,000): 0.2 |
| India | Dengue, hepatitis A, TB | Aedes mosquito; contaminated water; airborne | Ischemic heart disease | Smoking; indoor biomass smoke | Vaccination coverage (DTP3): 85% |
| Brazil | Zika, dengue, leptospirosis | Aedes mosquito; floodwater/rodent urine | Obesity | Alcohol use; sedentary work | UHC service index: 76 |
| Egypt | Hepatitis A, schistosomiasis | Food/water; freshwater contact | Chronic kidney disease | High salt diet; heat stress | Hospital beds (per 1,000): 1.6 |
| Indonesia | Typhoid, dengue | Food/water; mosquito-borne | Stroke | Smoking prevalence high | Out-of-pocket spend: 32% |
| Nigeria | Malaria, meningitis | Mosquito-borne; respiratory droplets | Maternal anemia | Poor sanitation | Skilled birth attendance: 43% |
| Mexico | Foodborne diarrheal illness, influenza | Food handling; respiratory droplets | Type 2 diabetes | Sugar-sweetened beverages | Obesity prevalence: 36% |
| Thailand | Dengue, influenza | Mosquito-borne; respiratory droplets | Road-injury burden | Traffic exposure | ICU beds (per 100,000): 10 |
| Russia | TB, influenza | Airborne; droplets | Alcohol-related liver disease | Heavy alcohol use | Life expectancy: 73 |
| South Africa | HIV, TB | Sexual transmission; airborne | Hypertension | Mining dust exposure | HIV treatment coverage: 72% |
