# Healthy snack options and typical prices (US grocery store)

| Food item | Typical package/portion | Typical price (USD) | Where you’d usually buy it | Why it’s considered a healthy option |
| --- | --- | --- | --- | --- |
| Plain Greek yogurt (single cup) | 5–6 oz cup | $1.00–$1.80 | Grocery store | High protein, no added sugar options |
| Baby carrots | 1 lb bag | $0.99–$1.79 | Grocery store | Low calorie, fiber and micronutrients |
| Apples | 1 medium apple | $0.70–$1.50 | Grocery store | Fiber, easy whole-food snack |
| Canned chickpeas | 15 oz can | $0.90–$1.80 | Grocery store | Plant protein and fiber |
| Oatmeal (plain) | 42 oz canister | $3.00–$6.00 | Grocery store | Whole grain, customizable without added sugar |
| Mixed nuts (unsalted) | 8 oz bag | $4.00–$8.00 | Grocery store | Healthy fats, satisfying snack |
| Frozen mixed vegetables | 12–16 oz bag | $1.20–$2.80 | Grocery store | Convenient vegetables, minimal prep |
| Brown rice (dry) | 2 lb bag | $2.00–$4.00 | Grocery store | Whole grain staple for meals |
| Canned tuna (in water) | 5 oz can | $1.00–$2.50 | Grocery store | Lean protein, shelf-stable |
| Hummus | 8–10 oz tub | $2.50–$5.00 | Grocery store | Plant-based dip, pairs with veggies |
