# Used Smartphone Buying Guide  Typical Used-Price Ranges and Where to Buy (Unlocked vs Carrier-locked)

| Phone (generation) | Release year | Condition tier | Storage | Typical used price (USD) | Availability channels | Sold by (examples) | Lock status | Return window (typical) | Warranty (typical) | Key buying notes |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| iPhone 12 | 2020 | Good | 64–128GB | $250–$360 | Refurb marketplaces, carrier trade-in resale, local pickup | Back Market, Swappa, carrier outlet | Usually unlocked (verify IMEI) | 14–30 days | 90 days–1 year (refurb) | Check battery health %, Face ID, iCloud lock |
| iPhone 11 | 2019 | Fair–Good | 64–128GB | $180–$280 | Peer-to-peer, refurb marketplaces | eBay, Swappa, Back Market | Mixed | 0–30 days | null–1 year | Look for replaced screens/batteries; verify true Tone |
| Samsung Galaxy S21 | 2021 | Good | 128GB | $200–$320 | Refurb marketplaces, carrier resale | Amazon Renewed, Back Market, Verizon/AT&T outlet | Mixed | 14–90 days | 90 days–1 year | Confirm SIM unlock; check OLED burn-in |
| Samsung Galaxy S20 | 2020 | Fair–Good | 128GB | $150–$240 | Peer-to-peer, refurb marketplaces | Swappa, eBay | Mixed | 0–30 days | null–1 year | Confirm 5G variant and band support |
| Google Pixel 6 | 2021 | Good | 128GB | $160–$260 | Refurb marketplaces, local pickup | Back Market, Facebook Marketplace | Usually unlocked | 14–30 days | 90 days–1 year | Check fingerprint sensor, USB-C port wear |
| Google Pixel 5 | 2020 | Good | 128GB | $110–$180 | Peer-to-peer, refurb marketplaces | Swappa, eBay | Usually unlocked | 0–30 days | null–1 year | Confirm battery condition; inspect camera glass |
| OnePlus 9 | 2021 | Good | 128GB | $120–$200 | Peer-to-peer, refurb marketplaces | Swappa, eBay | Usually unlocked | 0–30 days | null–1 year | Verify dual-SIM support and charger included |
| iPhone SE (2020) | 2020 | Good | 64–128GB | $100–$170 | Refurb marketplaces, trade-in resale | Amazon Renewed, Back Market | Usually unlocked | 14–90 days | 90 days–1 year | Small battery; check Touch ID and battery % |
| Motorola Moto G Power (2021) | 2021 | Good | 64GB | $60–$110 | Carrier prepaid resale, local pickup | Walmart resale, Facebook Marketplace | Often carrier-locked | 0–14 days | null–90 days | Confirm carrier compatibility and LTE bands |
| Nokia Lumia 920 (legacy) | 2012 | Good | 32GB | $20–$60 | Collectibles/used lots | eBay, local pickup | Typically unlocked | Varies | null | App ecosystem obsolete; buy only for basic/collector use |
