# Lunar Eclipses and Related Moon Phase at Maximum Eclipse (2010–2019)

| Year | Date (UTC) | Eclipse Type | Phase at Max Eclipse | Visibility Notes | Magnitude | Saros Series |
| --- | --- | --- | --- | --- | --- | --- |
| 2010 | Jun 26 | Partial | Full Moon | Visible from E. Asia, Americas | 0.54 | 146 |
| 2011 | Jun 15 | Total | Full Moon | Visible from Africa, Europe, Asia | 1.70 | 130 |
| 2012 | Jun 04 | Partial | Full Moon | Visible from Asia, Australia, Americas | 0.38 | 140 |
| 2014 | Apr 15 | Total | Full Moon | Visible from Americas; partial in W. Europe | 1.29 | 122 |
| 2015 | Sep 28 | Total | Full Moon | Visible from Europe, Africa, Americas | 1.28 | 137 |
| 2017 | Aug 07 | Partial | Full Moon | Visible from Africa, Europe, Asia | 0.25 | 119 |
| 2018 | Jan 31 | Total | Full Moon | Visible from Asia, Australia, W. N. America | 1.32 | 124 |
| 2018 | Jul 27 | Total | Full Moon | Visible from Europe, Africa, Asia, Australia | 1.61 | 129 |
| 2019 | Jul 16 | Partial | Full Moon | Visible from Europe, Africa, Asia | 0.65 | 139 |
