# Population by U.S. State Across Multiple Census Years (Selected States)

| State | 1990 Census | 2000 Census | 2010 Census | 2020 Census |
|---|---:|---:|---:|---:|
| California | 29,760,021 | 33,871,648 | 37,253,956 | 39,538,223 |
| Texas | 16,986,510 | 20,851,820 | 25,145,561 | 29,145,505 |
| Florida | 12,937,926 | 15,982,378 | 18,801,310 | 21,538,187 |
| New York | 17,990,455 | 18,976,457 | 19,378,102 | 20,201,249 |
| Pennsylvania | 11,881,643 | 12,281,054 | 12,702,379 | 13,002,700 |
| Illinois | 11,430,602 | 12,419,293 | 12,830,632 | 12,812,508 |
| Ohio | 10,847,115 | 11,353,140 | 11,536,504 | 11,799,448 |
| Georgia | 6,478,216 | 8,186,453 | 9,687,653 | 10,711,908 |
| North Carolina | 6,628,637 | 8,049,313 | 9,535,483 | 10,439,388 |
