# Key 4G LTE Modem Chipsets Commonly Found in Smartphones (for Reference When Buying Used Cellphones)

| Modem/Chipset Model | Vendor | Cellular Category | Peak Downlink | Peak Uplink | Carrier Aggregation | 5G Support | Typical Devices/Use | Notes |
|---|---|---|---|---|---|---|---|---|
| Snapdragon X12 LTE | Qualcomm | LTE Cat 12 | 600 Mbps | 150 Mbps | 3x CA | No | Many 2016-era phones | Often integrated in Snapdragon 820/821 devices |
| Snapdragon X16 LTE | Qualcomm | LTE Cat 16 | 1 Gbps | 150 Mbps | 4x CA | No | 2017 flagships | Gigabit LTE marketing term |
| Snapdragon X20 LTE | Qualcomm | LTE Cat 18 | 1.2 Gbps | 150 Mbps | 5x CA | No | 2018 phones | Requires compatible RF front-end |
| Snapdragon X24 LTE | Qualcomm | LTE Cat 20 | 2 Gbps | 316 Mbps | 7x CA | No | Late-2018/2019 phones | Used alongside Snapdragon 855 family |
| Snapdragon X50 | Qualcomm | 5G NR (early) | — | — | NSA-focused | Yes | Early 5G phones | Discrete modem paired with Snapdragon 855 |
| Exynos Modem 5123 | Samsung | LTE/5G | 2 Gbps (LTE) | — | Multi-CA | Yes | Samsung 5G phones | Paired with Exynos SoCs in some regions |
| HiSilicon Balong 765 | Huawei | LTE | 600 Mbps | 150 Mbps | 3x CA | No | Midrange Huawei phones | Often referenced in Huawei spec sheets |
| Intel XMM 7480 | Intel | LTE Cat 12 | 600 Mbps | 150 Mbps | 3x CA | No | Some iPhone variants | Used in certain carrier/regional SKUs |
| MediaTek Helio M70 | MediaTek | 5G NR | — | — | Sub-6 | Yes | 5G reference platforms | Typically paired with Dimensity SoCs |
| Unisoc V510 | Unisoc | 5G NR | — | — | Sub-6 | Yes | Budget 5G devices | Discrete modem in some designs |
