# Smoking-Associated Harms and Related Diagnoses (Non-infectious Exposure)

| Exposure | Time scale | Primary affected system | Example outcomes | Example diagnoses mentioned | Notes |
|---|---|---|---|---|---|
| Active cigarette smoking | Years | Cardiovascular | Atherosclerosis, stroke | Stroke, coronary artery disease | Dose-dependent |
| Secondhand smoke | Years | Respiratory | Reduced lung function | COPD, asthma exacerbation | Household/workplace exposure |
| Smoking | Years | Oncology | Increased cancer risk | Lung cancer, bladder cancer | Carcinogen exposure |
| Smoking | Months–years | Oral health | Periodontal disease | Gingivitis, periodontitis | Chronic irritation |
| Smoking | Years | Reproductive | Reduced fertility | Infertility, erectile dysfunction | Hormonal/vascular effects |
| Smoking | Years | Pregnancy | Adverse outcomes | Low birth weight, miscarriage | Maternal exposure |
| Smoking | Years | Gastrointestinal | Ulcers, reflux | Peptic ulcer disease | Mucosal effects |
| Smoking | Years | Skin/aging | Wrinkles, poor wound healing | Dermal aging | Oxidative stress |
| Smoking | Years | Neurologic | Vascular dementia risk | Cognitive decline | Indirect vascular pathway |
| Smoking | Years | Immune | Increased infection susceptibility | Respiratory infections (non-specific) | Not disease-route mapping |
