# Land Area by County (Ireland) with Historical Notes and Former Administrative Context

| County | Land Area (km²) | Former Province | Historic Seat | Notable Historic Notes |
|---|---:|---|---|---|
| Cork | 7498 | Munster | Cork | Mentions historic shire development |
| Galway | 6149 | Connacht | Galway | Includes brief historic commentary |
| Mayo | 5586 | Connacht | Castlebar | References historic boundaries |
| Donegal | 4861 | Ulster | Lifford | Notes plantation-era context |
| Kerry | 4807 | Munster | Tralee | Mentions historic barony system |
| Tipperary | 4305 | Munster | Nenagh/Clonmel | Notes North/South riding history |
| Clare | 3446 | Munster | Ennis | Short historical overview |
| Tyrone | 3155 | Ulster | Omagh | Refers to historic counties |
| Antrim | 3046 | Ulster | Antrim | Notes historic division |
| Limerick | 2755 | Munster | Limerick | Mentions medieval administration |
| Kilkenny | 2073 | Leinster | Kilkenny | References Norman era |
