# Hospital Case Fatality Rate (CFR) by Condition — In-Hospital Outcomes (Not Population Cause-of-Death)

| Rank (by CFR) | Condition | Admissions | In-hospital Deaths | Case Fatality Rate (%) | Metric Type |
|---:|---|---:|---:|---:|---|
| 1 | Sepsis | 18,420 | 2,215 | 12.0 | Hospital CFR |
| 2 | Intracerebral hemorrhage | 3,110 | 325 | 10.5 | Hospital CFR |
| 3 | Acute myocardial infarction | 9,540 | 710 | 7.4 | Hospital CFR |
| 4 | Heart failure | 12,880 | 745 | 5.8 | Hospital CFR |
| 5 | Pneumonia (all-cause) | 14,230 | 690 | 4.8 | Hospital CFR |
| 6 | COPD exacerbation | 8,970 | 250 | 2.8 | Hospital CFR |
| 7 | Stroke (ischemic) | 6,440 | 165 | 2.6 | Hospital CFR |
| 8 | Diabetic ketoacidosis | 2,030 | 25 | 1.2 | Hospital CFR |
| 9 | Appendicitis | 4,560 | 12 | 0.3 | Hospital CFR |
| 10 | Hip fracture | 3,980 | 95 | 2.4 | Hospital CFR |
