# Central Bank Policy Interest Rates by Country and Year (Percent)

| Country | Year | Policy Rate (%) | Rate Type | Notes |
|---|---:|---:|---|---|
| United States | 2019 | 2.25 | Target range midpoint | Federal funds target midpoint |
| United States | 2020 | 0.25 | Target range midpoint | Effective lower bound period |
| United States | 2021 | 0.25 | Target range midpoint | Pre-tightening |
| Euro Area | 2019 | 0.00 | Main refinancing rate | ECB MRO rate |
| Euro Area | 2020 | 0.00 | Main refinancing rate | ECB MRO rate |
| Euro Area | 2021 | 0.00 | Main refinancing rate | ECB MRO rate |
| United Kingdom | 2019 | 0.75 | Bank Rate | Bank of England |
| United Kingdom | 2020 | 0.10 | Bank Rate | Pandemic cut |
| United Kingdom | 2021 | 0.10 | Bank Rate | Held flat most of year |
| Japan | 2019 | -0.10 | Policy-rate balance | Bank of Japan |
| Japan | 2020 | -0.10 | Policy-rate balance | Bank of Japan |
| Japan | 2021 | -0.10 | Policy-rate balance | Bank of Japan |
| Brazil | 2019 | 4.50 | Selic target | Central Bank of Brazil |
| Brazil | 2020 | 2.00 | Selic target | Easing cycle |
| Brazil | 2021 | 9.25 | Selic target | Tightening cycle |
| India | 2019 | 5.15 | Repo rate | Reserve Bank of India |
| India | 2020 | 4.00 | Repo rate | Pandemic cut |
| India | 2021 | 4.00 | Repo rate | Held flat |
| South Africa | 2019 | 6.50 | Repo rate | SARB |
| South Africa | 2020 | 3.50 | Repo rate | Large cuts |
| South Africa | 2021 | 3.75 | Repo rate | Initial hike |
| Australia | 2019 | 0.75 | Cash rate target | RBA |
| Australia | 2020 | 0.10 | Cash rate target | Lower bound |
| Australia | 2021 | 0.10 | Cash rate target | Held flat |
