# BrightMart Co. - Profitability Summary with Cash Flow and Liquidity Metrics

| Metric | 2020 | 2021 | 2022 | 2023 | Unit |
|---|---:|---:|---:|---:|---|
| Net Sales | 9,400 | 9,860 | 10,220 | 10,980 | USD m |
| Gross Profit | 2,350 | 2,510 | 2,610 | 2,870 | USD m |
| EBITDA | 1,020 | 1,090 | 1,120 | 1,240 | USD m |
| Operating Income (EBIT) | 690 | 740 | 755 | 830 | USD m |
| Net Profit | 410 | 455 | 440 | 505 | USD m |
| Operating Cash Flow | 760 | 820 | 790 | 880 | Cash-flow item |
| Free Cash Flow | 520 | 560 | 510 | 610 | Cash-flow item |
| Current Ratio | 1.4x | 1.5x | 1.3x | 1.6x | Liquidity |
| Interest Coverage (EBIT/Interest) | 6.2x | 6.8x | 5.9x | 7.1x | Leverage |
| Dividend Yield | 2.1% | 2.3% | 2.6% | 2.4% | Investor metric |
