# Top Torrent Indexing Sites Directory (Category Coverage, Registration, and Mirrors)

| Rank | Site | Primary Content | Requires Registration | Supports Magnet Links | Mirror Domains Listed | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| 1 | The Pirate Bay | General | No | Yes | Yes | Frequent domain changes |
| 2 | 1337x | General | Optional | Yes | Some | Curated categories |
| 3 | RARBG | Movies/TV | No | Yes | No | Community tags |
| 4 | YTS | Movies | No | Yes | Yes | Small file encodes |
| 5 | Nyaa | Anime | Optional | Yes | Yes | Strong niche focus |
| 6 | TorrentGalaxy | General | Optional | Yes | Some | Active forum |
| 7 | LimeTorrents | General | No | Yes | Yes | Large index |
| 8 | Zooqle | General | No | Yes | No | Verifies some uploads |
| 9 | EZTV | TV | No | Yes | Yes | TV-only catalog |
| 10 | Demonoid | General | Yes | Yes | Some | Invite/registration cycles |
