# Apple iPod classic (hard-drive) generations and configurations

| Generation / Marketing name | Release year | Model identifier(s) | Storage options (built-in) | Color options | Display size | Key hardware notes |
|---|---:|---|---|---|---|---|
| iPod (1st gen) | 2001 | M8541 | 5 GB | White | 2.0 in (monochrome) | FireWire sync/charge; mechanical scroll wheel |
| iPod (2nd gen) | 2002 | A1019 | 10 GB, 20 GB | White | 2.0 in (monochrome) | Touch-sensitive wheel; FireWire |
| iPod (3rd gen) | 2003 | A1040 | 10 GB, 15 GB, 20 GB, 30 GB, 40 GB | White | 2.0 in (monochrome) | Dock connector introduced; touch buttons |
| iPod (4th gen) | 2004 | A1059 | 20 GB, 40 GB | White | 2.0 in (monochrome) | Click Wheel introduced |
| iPod (4th gen) "Photo" | 2004 | A1099 | 30 GB, 40 GB, 60 GB | White | 2.0 in (color) | Color display; photo viewing |
| iPod (5th gen) "with video" | 2005 | A1136 | 30 GB, 60 GB, 80 GB | White, Black | 2.5 in (color) | Video playback; thinner front profile |
| iPod classic (6th gen) | 2007 | A1238 | 80 GB, 160 GB | Silver, Black | 2.5 in (color) | New UI; all-metal front; improved battery |
| iPod classic (6th gen rev.) | 2008 | A1238 | 120 GB | Silver, Black | 2.5 in (color) | Revised storage tier; efficiency updates |
| iPod classic (7th gen) | 2009 | A1238 | 160 GB | Silver, Space Gray | 2.5 in (color) | Final classic line; storage unified at 160 GB |
